group	job
Sõjaväelased	Sõjaväelased
Juhid	Juhid
Juhid	Füüsilisest isikust ettevõtjad
Juhid	Täpsustamata osakonnajuhatajad
Juhid	Ettevõtjad
Juhid	Täpsustamata juhatuse liikmed
Juhid	Täpsustamata tiimijuhid
Juhid	Täpsustamata juhi asetäitjad
Juhid	Täpsustamata hooldusjuhid/nõunikud
Juhid	Kõrgemad valitsusametnikud
Juhid	Finantsjuhid
Juhid	Personalijuhid
Juhid	Äriteenindus- ja haldusjuhid, mujal liigitamata
Juhid	Müügi- ja turundusjuhid
Juhid	Reklaami- ja suhtekorraldusjuhid
Juhid	Teadus- ja arendusjuhid
Juhid	Töötleva tööstuse juhid
Juhid	Ehitusjuhid
Juhid	Tarne-, turustus- jms juhid
Juhid	IKT-juhid
Juhid	Lapsehoiuteenuste juhid
Juhid	Tervishoiuteenuste juhid
Juhid	Sotsiaalhoolekande teenuste juhid
Juhid	Haridus- ja koolitusteenuste juhid
Juhid	Kutseteenuste juhid, mujal liigitamata
Juhid	Hotellide, motellide ja hostelite juhid
Juhid	Restoranide ja kohvikute juhid
Juhid	Hulgi- ja jaekaubandusjuhid
Juhid	Spordi-, vabaaja- ja kultuurikeskuste juhid
Juhid	Teenuste juhid, mujal liigitamata
Tippspetsialistid	Täpsustamata projektijuhid
Tippspetsialistid	Täpsustamata tippspetsialistid
Tippspetsialistid	Täpsustamata analüütik
Tippspetsialistid	Täpsustamata konsultandid
Tippspetsialistid	Täpsustamata nõunik
Tippspetsialistid	Täpsustamata tootejuhid
Tippspetsialistid	Täpsustamata kvaliteedispetsialistid
Tippspetsialistid	Keemikud
Tippspetsialistid	Matemaatikud, aktuaarid ja statistikud
Tippspetsialistid	Bioloogid, botaanikud, zooloogid jms tippspetsialistid
Tippspetsialistid	Põllumajanduse, metsanduse ja kalanduse nõuandjad
Tippspetsialistid	Keskkonnakaitse tippspetsialistid
Tippspetsialistid	Tööstus- ja tootmisinsenerid
Tippspetsialistid	Tööstus- ja tootmisinsenerid
Tippspetsialistid	Ehitusinsenerid
Tippspetsialistid	Mehaanikainsenerid
Tippspetsialistid	Keemiainsenerid
Tippspetsialistid	Tehnikateaduste tippspetsialistid, mujal liigitamata
Tippspetsialistid	Elektriinsenerid
Tippspetsialistid	Elektroonikainsenerid
Tippspetsialistid	Ehitusarhitektid
Tippspetsialistid	Landscape Architects
Tippspetsialistid	Toote- ja rõivadisainerid
Tippspetsialistid	Linna- ja liiklusplaneerijad
Tippspetsialistid	Kartograafid ja maamõõtjad
Tippspetsialistid	Kujundajad ja multimeediadisainerid
Tippspetsialistid	Tervishoiu tippspetsialistid (täpsustamata)
Tippspetsialistid	Arstid
Tippspetsialistid	Üldarstid
Tippspetsialistid	Eriarstid
