code	en	et
2654	technical director	tehnikadirektor
8121	metal drawing machine operator	tõmbepingi operaator
7543	precision device inspector	täppisseadmete inspektor
3155	air traffic safety technician	lennuliikluse ohutustehnik
2431	hospitality revenue manager	majutusasutuse tulujuht
3212	medical laboratory assistant	meditsiinilabori assistent
3116	asphalt laboratory technician	asfaldisegude katselaborant
5312	primary school teaching assistant	põhikooli abiõpetaja
2264	physiotherapist	füsioterapeut
2310	performing arts theatre instructor	lavakunstikooli teatriõpetaja
8160	hydrogenation machine operator	hüdrogeenimismasina operaator
8160	pasta operator	pastatoodete valmistamise operaator
1420	tobacco shop manager	tubakatoodete kaupluse juhataja
5249	rental service representative in other machinery, equipment and tangible goods	muude masinate, seadmete ja materiaalse vara renditeenuse müüja
2165	mine surveyor	markšeider
2263	food safety specialist	toiduohutuse spetsialist
7233	land-based machinery technician	põllumajandusmasinate tehnik
8331	bus driver	bussijuht
1324	import export manager in meat and meat products	liha ja lihatoodete impordi ja ekspordi juht
2422	housing policy officer	eluasemepoliitika spetsialist
3434	head chef	ülemkokk
8131	nonwoven filament machine operator	lausriidemasina operaator
1345	head of higher education institutions	kõrgharidusasutuse juht
3123	insulation supervisor	soojustajate töödejuhataja
2149	dismantling engineer	lammutusinsener
3315	insurance claims handler	kahjukäsitleja
1223	clothing development manager	rõivatööstuse tootearendusjuht
2641	medical writer	meditsiinitekstide kirjutaja
8131	nitroglycerin separator operator	nitroglütseriiniseparaatori operaator
2149	biomedical engineer	biomeditsiinitehnika insener
3412	legal guardian	eestkostja
7318	weaver	kangur
7122	tile fitter	plaatija
1420	shoe and leather accessories shop manager	jalatsite ja nahkgalanterii kaupluse juhataja
1439	tour operator manager	reisikorraldusettevõtte töödejuhataja
6123	bee breeder	mesinik
3342	legal administrative assistant	assistent õigusküsimustes
3134	petroleum pump system operator	nafta pumpamise süsteemi operaator
8153	protective clothing apparel manufacturer	kaitseriietuse valmistaja
8122	coating machine operator	pindamismasina operaator
6221	aquaculture hatchery manager	vesiviljelushaudejaama juht
7223	gear machinist	mootorimehaanik
1411	rooms division manager	majutusosakonna juhataja
7316	ceramic painter	keraamikamaalija
2153	telecommunications engineer	telekommunikatsiooniinsener
2352	adult literacy teacher	täiskasvanute kirjaoskuse õpetaja
1321	footwear quality manager	jalatsitööstuse kvaliteedijuht
7126	sprinkler fitter	sprinklerseadmete paigaldaja
1324	electronic and telecommunications equipment and parts distribution manager	elektroonika- ja sideseadmete ning nende osade turustusjuht
2352	special educational needs teacher secondary school	üldhariduskooli vanema astme eripedagoog
1431	performance production manager	esituskunsti tootmisjuht
1321	metal production manager	metallitöötlemise juht
8211	aircraft engine assembler	õhusõidukimootorite koostaja
2146	quarry engineer	avakaevanduse insener
1420	audiology equipment shop manager	audioloogiaseadmete kaupluse juhataja
5223	hardware and paint specialised seller	rauakaupade ja värvide müüja
2341	primary school teacher	algklassiõpetaja
8331	tram driver	trammijuht
3122	container equipment assembly supervisor	konteinerseadmete koostamise töödejuhataja
4321	warehouse operators for clothing	rõivatööstuse laooperaator
3343	administrative assistant	assistent-asjaajaja
8160	coffee grinder	kohviubade jahvatusmasina operaator
3344	medical administrative assistant	tervishoiuasutuse sekretär
2529	ICT security administrator	IKT turbeadministraator
3123	bricklaying supervisor	müüriladujate töödejuhataja
2269	medical physics expert	meditsiinifüüsika ekspert
8114	slate mixer	kiltkivitöötleja
3115	marine engineering technician	laevaehitustehnik
1221	auction house manager	oksjonikorraldaja
2512	software analyst	tarkvaraanalüütik
1211	accounting manager	raamatupidamisjuht
1219	foundry manager	valukoja juht
2422	procurement category specialist	hankekategooria spetsialist
7422	telecommunications technician	telekommunikatsioonitehnik
5242	promotions demonstrator	tooteesitleja
2320	maritime instructor	laevajuhtimise õpetaja
3311	foreign exchange trader	valuutakaupleja
3115	aerospace engineering technician	lennundustehnik
8172	table saw operator	universaalketassae operaator
3123	bridge construction supervisor	sillaehituse töödejuhataja
7112	bricklayer	müüriladuja
7511	meat cutter	lihalõikaja
2632	criminologist	kriminoloog
3521	performance video operator	videooperaator
5223	fish and seafood specialised seller	kala ja mereandide müüja
1322	oil and gas production manager	nafta- ja gaasi tootmisjuht
3117	metallurgical technician	metallurgiatehnik
8151	spinning textile operator	ketrustehnik
7122	resilient floor layer	põrandakattematerjalide paigaldaja
3119	textile quality technician	tekstiili kvaliteeditehnik
7516	curing room worker	tubaka valmimisruumi tööline
8122	enameller	emailvärvija
2423	recruitment consultant	värbamiskonsultant
2120	actuarial consultant	aktuaar-konsultant
2166	performance lighting designer	etenduse valguskujundaja
2653	dance répétiteur	tantsurepetiitor
7412	automotive battery technician	mootorsõiduki akutehnik
2163	footwear designer	jalatsidisainer
1120	public employment service manager	avalikku teenistusse värbamise haldur
7532	clothing product grader	lõigete suurendaja-vähendaja
1112	public administration manager	avaliku halduse valdkonna juht
3312	credit analyst	krediidianalüütik
3123	plumbing supervisor	torulukkseppade töödejuhataja
2413	securities analyst	väärtpaberianalüütik
2653	dancer	tantsija
7536	bespoke footwear technician	eritellimusjalatsite tehnik
2612	judge	kohtunik
2163	puppet designer	nukukunstnik
7322	flexographic press operator	fleksotrükimasina operaator
2149	dependability engineer	töökindluse insener
2511	integration engineer	integratsiooni insener
2112	weather forecaster	ilmateadustaja
2659	street artist	tänavakunstnik
1431	spa manager	spaa juhataja
3421	professional athlete	profisportlane
2250	specialised veterinarian	spetsialiseerunud veterinaararst
3435	automated fly bar operator	lavaautomaatika operaator
3119	commissioning technician	objekti üleandmise tehnik
1213	branch manager	äriühingu harukontori juht
2513	search engine optimisation expert	otsingumootorisõbralikkuse spetsialist
7126	water network operative	veevõrgusüsteemi torustiku hooldaja
2635	youth information worker	noorsoo-teavitustöötaja
3323	green coffee buyer	toorkohvi sisseostja
2310	economics lecturer	majandusteaduse õppejõud
5223	motor vehicles parts advisor	mootorsõidukiosade müüja
5141	hairdresser	juuksur
2651	art restorer	kunstirestauraator
2656	presenter	saatejuht
3422	golf instructor	golfiinstruktor
3112	domestic energy assessor	kodutarbimise energiaauditi teostaja
4110	membership administrator	püsikliendihaldur
7536	hand lasting operator	jalatsite liistul vormija
5311	nanny	kvalifitseeritud lapsehoidja
3324	wholesale merchant in perfume and cosmetics	parfümeeria- ja kosmeetikatoodete hulgikaupleja
7214	riveter	neetija
7312	stringed musical instrument maker	keelpillimeister
8159	textile pattern making machine operator	tekstiilitrükkal
2519	ICT test analyst	IKT testimise analüütik
7221	hydraulic forging press worker	hüdraulilise stantsiga stantsija
8143	tissue paper perforating and rewinding operator	pehmepaberi perforeerimis- ja kerimismasina operaator
2250	animal massage therapist	veterinaarmassöör
7232	aircraft engine specialist	õhusõidukimootori spetsialist
3422	boxing instructor	poksiinstruktor
5164	animal care attendant	loomade talitaja
5223	shop assistant	poeabiline
0110	fleet commander	mereväekomandör
2250	animal therapist	loomaterapeut
