ID	en	et	zh	bp	ru	de	jp	it	es	uk	idn	ar	fr	sr
sc1	Very false	Täiesti vale	非常不符合	Muito falso	Совершенно неверно	Sehr unzutreffend	全くあてはまらない	Molto falso	Muy falso	Зовсім не відповідає дійсності	Sangat tidak sesuai	خاطئ جدًا	Très faux	Potpuno netačno
sc2	Quite false	Üsna vale	比较不符合	Bastante falso	Неверно	Unzutreffend	あてはまらない	Abbastanza falso	Bastante falso	Майже не відповідає дійсності	Tidak sesuai	خاطئ إلى حد كبير	Assez faux	Prilično netačno
sc3	Slightly false	Pigem vale	稍微不符合	Um pouco falso	Скорее неверно	Eher unzutreffend	少しあてはまらない	Leggermente falso	Ligeramente falso	Трохи не відповідає дійсності	Agak tidak sesuai	خاطئ قليلاً	Un peu faux	Uglavnom netačno
sc4	Slightly true	Pigem õige	稍微符合	Um pouco verdadeiro	Скорее верно	Eher zutreffend	少しあてはまる	Leggermente vero	Ligeramente verdadero	Трохи наближене до правди	Agak sesuai	صحيح قليلاً	Un peu juste	Uglavnom tačno
sc5	Quite true	Üsna õige	比较符合	Bastante verdadeiro	Верно	Zutreffend	あてはまる	Abbastanza vero	Bastante verdadero	Майже правда	Sesuai	صحيح إلى حد كبير	Assez juste	Prilično tačno
sc6	Very true	Täiesti õige	非常符合	Muito verdadeiro	Совершенно верно	Sehr zutreffend	とてもあてはまる	Molto vero	Muy verdadero	Абсолютна правда	Sangat Sesuai	صحيح جدًا	Très juste	Potpuno tačno
title	Your personality among different jobs	Teie isiksus ja erinevad tööd	您的性格与不同工作的契合度	Sua personalidade em diferentes empregos	Ваша личность и различные профессии	Ihre Persönlichkeit in verschiedenen Berufen	さまざまな職業におけるあなたの性格	La tua personalità tra diversi lavori	Tu personalidad en diferentes trabajos	Ваша особистість і різні професії	Kepribadian Anda di antara berbagai pekerjaan	شخصيتك بين مختلف الوظائف	Votre personnalité à travers différents métiers	Tvoja ličnost u različitim poslovima
descr	Personality profile fit test: see how your Big Five personality traits match over 250 jobs. Based on a scientific study of nearly 70,000 people.	Isiksuseprofiili sobivuse test: vaata, kuidas sinu Suure Viisiku omadused sobivad enam kui 250 tööga. Põhineb ligi 70,000 inimest hõlmanud teadusuuringul	性格特质匹配度测试：了解您的大五人格（性格）特质与 250 多种工作的匹配程度。基于近 7 万人样本的科学研究。	Teste de adequação de perfil de personalidade: veja como seus traços de personalidade baseados no Big Five se encaixam em mais de 250 profissões. Baseado em um estudo científico com quase 70.000 pessoas	Тест на соответствие профиля личности: узнайте, насколько Ваши черты личности Большой пятерки совпадают с более чем 250 профессиями. Основано на научном исследовании более чем 70 000 человек.	Persönlichkeitsprofil-Übereinstimmungstest: Sehen Sie, wie Ihre Big Five-Persönlichkeitsmerkmale mit über 250 Jobs übereinstimmen. Basierend auf einer wissenschaftlichen Studie mit fast 70.000 Menschen.	性格プロファイル一致度テスト：あなたのビッグファイブ性格特性が250以上の職業とどの程度一致するかを確認できます。約7万人を対象とした科学的研究に基づいています。	Test di adeguatezza del profilo di personalità: scopri come i tratti Big Five della tua personalità combaciano con oltre 250 lavori. Basato su uno studio scientifico di quasi 70.000 persone.	Test de ajuste de perfil de personalidad: descubre cómo tus Cinco Grandes rasgos de personalidad se alinean con más de 250 profesiones. Basado en un estudio científico con cerca de 70,000 personas.	Тест на сумісність вашого профілю особистості з різними професіями: дізнайтеся, як ваша ""Велика п'ятірка"" рис особистості поєднується з 250 професіями. В основу покладено наукове дослідження, учасниками якого стали приблизно 70000 осіб.	Tes kesesuaian profil kepribadian: bandingkan bagaimana karakteristik kepribadian Lima Faktor (Big Five) Anda sesuai dengan lebih dari 250 pekerjaan. Didasari dengan studi ilmiah pada hampir 70 ribu orang.	اختبار توافق الشخصية: تعرف على مدى توافق سماتك الشخصية مع أكثر من 250 وظيفة. بناءً على دراسة علمية شملت ما يقرب من 70,000 شخص.	Test d'ajustement du profil de personnalité : voyez comment vos cinq grands traits de personnalité correspondent à plus de 250 métiers. Basé sur une étude scientifique sur près de 70'000 personnes.	Test uklapanja profila ličnosti: proverite kako se Vaših Velikih pet osobina ličnosti uklapa u profile preko 250 zanimanja. Zasnovano na naučnoj studiji sprovedenoj na skoro 70.000 ljudi.
subject	Your personality traits compared to hundreds of jobs	Teie isiksuseomadused võrrelduna sadade ametitega	您的性格特质与数百种工作的比较	Seus traços de personalidade comparados a centenas de profissões	Ваши черты личности в сравнении с сотнями профессий	Ihre Persönlichkeitsmerkmale im Vergleich zu Hunderten von Berufen	さまざまな職業と比較したあなたの性格特性	I tratti della tua personalità in confronto a centinaia di lavori	Tus rasgos de personalidad comparados con cientos de trabajos	Риси вашої особистості порівнюються з сотнями професій	Karakteristik kepribadian Anda dibandingkan dengan ratusan pekerjaan	سمات شخصيتك مقارنة بمئات الوظائف	Votre personnalité comparée à des centaines de métiers.	Vaše osobine ličnosti u poređenju sa stotinama zanimanja
alt	Which jobs match your personality traits?	Millised tööd sarnanevad teie isiksuseomadustele?	哪种工作最符合您的性格？	Quais profissões combinam com seus traços de personalidade?	Какие профессии схожи с Вашим чертам личности?	Welche Jobs passen zu Ihren Persönlichkeitsmerkmalen?	どの職業があなたの性格特性とマッチしているでしょうか？	Quali lavori si adattano ai tratti della tua personalità?	¿Qué trabajos encajan con tus rasgos de personalidad?	Які професії відповідають рисам вашої особистості?	Pekerjaan apa yang sesuai dengan kepribadian Anda?	ما الوظائف التي تتوافق مع سمات شخصيتك؟	Quels métiers correspondent à vos traits de la personnalité?	Koja zanimanja odgovaraju Vašim osobinama ličnosti?
comp1	Have you previously used this app?	Kas olete varem seda rakendust kasutanud?	您以前使用过此应用吗？	Você já usou este aplicativo?	Вы уже использовали это приложение ранее?	Haben Sie diesen Fragebogen bereits verwendet?	このアプリを使用したことがありますか？	Hai già utilizzato questa app in precedenza?	¿Has usado esta aplicación previamente?	Чи користувались ви цим застосунком раніше?	Apakah Anda pernah menggunakan aplikasi ini sebelumnya?	هل سبق لك استخدمت هذا التطبيق؟	Avez-vous déjà utilisé cette application ?	Da li ste ranije koristili ovu aplikaciju?
comp2	Did somebody send you the link to this app?	Kas keegi saatis teile selle rakenduse lingi?	您是通过他人分享获得的链接吗？	Alguém lhe enviou o link deste aplicativo?	Кто-то отправил Вам ссылку на это приложение?	Hat Ihnen jemand den Link zu diesem Fragebogen geschickt?	このアプリのリンクを他の誰かから受け取りましたか？	Qualcuno ti ha inviato il link a questa app?	¿Te envió alguien el enlace de esta aplicación?	Посилання на цей застосунок надіслала вам інша особа?	Apakah orang lain membagikan tautan aplikasi ini kepada Anda?	هل أرسل لك أحد رابط هذا التطبيق؟	Quelqu'un vous a-t-il envoyé le lien vers cette application ?	Da li Vam je neko poslao link ka ovoj aplikaciji?
comp3	Who was the link shared by?	Kes saatis teile selle lingi?	是谁与您分享的链接？	Quem compartilhou com vocês o link deste aplicativo?	Кто поделился с Вами ссылкой?	Von wem wurde der Link geteilt?	どなたによってリンクがシェアされましたか？	Da chi è stato condiviso il link?	¿Quién compartió el enlace contigo?	Хто поділився з вами цим посиланням?	Siapa yang membagikan tautan tersebut?	من الذي شاركك الرابط؟	Qui vous a partagé ce lien?	Ko Vam je podelio link?
disc1	Contact us: jobprofiler@ut.ee	Võtke ühendust: jobprofiler@ut.ee	联系我们：jobprofiler@ut.ee	Contacte-nos: jobprofiler@ut.ee	Свяжитесь с нами: jobprofiler@ut.ee	Kontaktieren Sie uns: jobprofiler@ut.ee	お問い合わせ: jobprofiler@ut.ee	Contattaci: jobprofiler@ut.ee	Contáctanos: jobprofiler@ut.ee	Зв'яжіться з нами: jobprofiler@ut.ee	Hubungi kami: jobprofiler@ut.ee	تواصل معنا: jobprofiler@ut.ee	Contact: rene.mottus@ut.ee	Možete nas kontaktirati na: jobprofiler@ut.ee
int1	The gender you identify with the most	Millist sugu te endale omasemaks peate?	您认为您的性别是	Com qual gênero você se identifica mais?	С каким полом Вы больше всего себя идентифицируете?	Das Geschlecht, mit dem Sie sich am meisten identifizieren	最もあてはまると考えられるあなたの性別をお答えください。	Il genere con cui ti identifichi di più	El género con el que te identificas más	Стать, з якою ви себе найбільше ідентифікуєте	Gender yang lebih merepresentasikan Anda	الجنس الذي تشعر أنه يمثلك بشكل أكبر	Le genre auquel vous vous identifiez le plus	Pol s kojim se najviše identifikujete
int2	Your age	Teie vanus	您的年龄	Sua idade	Ваш возраст	Ihr Alter	あなたのご年齢をお答えください。	La tua età	Tu edad	Ваш вік	Umur Anda	عمرك	Votre age	Vaše godine starosti
int3	Which country do you live in?	Mis maal te elate?	您目前居住在哪个国家？	Em que país você mora?	В какой стране Вы живете?	In welchem Land leben Sie?	お住まいの国をお答えください。	In quale nazione vivi?	¿En qué país vives?	У якій країні ви проживаєте?	Negara yang Anda tinggali?	في أي بلد تعيش؟	Dans quel pays habitez-vous ?	U kojoj zemlji živite?
int4	Do you have a job?	Kas te töötate?	您目前有工作吗？	Você tem um emprego?	У Вас есть работа?	Haben Sie einen Beruf?	現在、お仕事に就かれていますか。	Hai un lavoro (occupazione, impiego)?	¿Tienes trabajo?	Чи маєте ви роботу?	Apakah Anda memiliki pekerjaan?	هل تعمل حاليًا؟	Avez-vous un emploi ?	Da li imate posao?
int5	What is your job title?	Millist tööd te teete?	您的工作职位是什么？	Qual é o seu cargo?	Какая у Вас должность?	Wie lautet Ihre Berufsbezeichnung?	あなたの役職をお答えください。	Qual è il tuo lavoro?	¿Cuál es tu puesto de trabajo?	Яку посаду ви обіймаєте?	Apa pekerjaan Anda?	ما هو المسمى الوظيفي الخاص بك؟	Quel est le titre de votre emploi?	Koji je naziv Vašeg radnog mesta?
int6	Are you happy with your job?	Kas te olete oma tööga rahul?	您对您的工作感到满意？	Você esta satisfeito com seu emprego?	Вы довольны своей работой?	Wie sehr stimmen Sie dieser Aussage zu: Ich bin mit meinem Beruf zufrieden.	あなたは今のお仕事で幸せを感じますか。	Sei soddisfatto del tuo lavoro?	¿Estas satisfecho/a con tu trabajo?	Чи задоволені ви своєю роботою?	Apakah Anda senang dengan pekerjaan Anda?	هل أنت سعيد بوظيفتك؟	Êtes-vous satisfait·e de votre emploi?	Da li ste zadovoljni svojim poslom?
mat1	Now we ask you to rate 74 statements about your personality.	Nüüd palume teil hinnata 74 isiksuseomadusi kirjeldavat väidet.	现在请您对74项关于自身性格特质的陈述进行评估。	Agora pedimos que você avalie 74 afirmações sobre sua personalidade.	Теперь мы просим Вас оценить 74 утверждения о Вашей личности.	Nun bitten wir Sie, 74 Aussagen über Ihre Persönlichkeit einzuschätzen.	それでは、あなたの性格について74のご質問をいたします。	Ora ti chiediamo di valutare 74 affermazioni riguardo la tua personalità.	Ahora te pedimos que evalúes 74 afirmaciones sobre tu personalidad.	Будь ласка, оцініть 74 твердження про вашу особистість.	Sekarang, silahkan menilai 74 pernyataan mengenai kepribadian Anda.	سنطلب منك الآن تقييم 74 عبارة عن شخصيتك.	Nous vous demandons maintenant d'évaluer 74 affirmations concernant votre personnalité.	Sada bismo Vas zamolili da procenite 74 izjava o Vašoj ličnosti.
mat2	Please rate how well each statement describes you generally.	Palun hinnake, kui hästi iga väide kirjeldab seda, milline te tavaliselt olete.	请评定每项陈述与您的符合程度。	Por favor, avalie quanto cada afirmação descreve você de forma geral.	Пожалуйста, оцените, насколько каждое утверждение описывает то, каким Вы в целом являетесь.	Bitte bewerten Sie, wie gut jede Aussage Sie im Allgemeinen beschreibt.	それぞれの文が普段のあなたにどの程度あてはまるかご回答ください。	Per favore, valuta quanto in generale ciascuna affermazione ti descrive.	Por favor, evalúa cómo de bien te describe en general cada afirmación.	Будь ласка, оцініть, наскільки добре кожне твердження описує вас у цілому.	Harap menilai seberapa sesuai setiap pernyataan mendeskripsikan Anda secara umum	يرجى تقييم مدى وصف كل عبارة لك بشكل عام.	Veuillez évaluer dans quelle mesure chaque affirmation vous décrit de manière générale.	Molimo Vas da procenite u kojoj meri Vas svaka izjava generalno opisuje.
mat3	Please answer as carefully and honestly as you can. Your results’ accuracy depends on the responses.	Palun vastake nii põhjalikult ja ausalt, kui saate. Sellest sõltub teie tulemuste tõepärasus.	请尽可能仔细和诚实地回答。结果的准确性取决于您的回答。	Por favor, responda com o máximo de cuidado e honestidade possível. A precisão dos resultados depende das suas respostas.	Пожалуйста, отвечайте как можно внимательнее и честнее. Точность результатов зависит от Ваших ответов.	Bitte antworten Sie so sorgfältig und ehrlich wie möglich. Die Genauigkeit Ihrer Ergebnisse hängt von den Antworten ab.	できるだけ注意深く、正直にお答えください。結果の正確さはご回答によって左右されます。	Per favore, rispondi nel modo più accurato e onesto possibile. L'accuratezza dei risultati dipende dalle risposte.	Responde tan cuidadosa y honestamente como puedas. La precisión de los resultados depende de tus respuestas.	Будь ласка, відповідайте якомога точніше і чесніше. Від ваших відповідей залежить точність результатів.	Mohon untuk menjawab secara hati-hati dan sejujurnya. Keakuratan hasil Anda didasari dengan jawaban tersebut.	أجب بعناية وصدق قدر الإمكان. تعتمد دقة النتائج على الإجابات.	Veuillez répondre le plus soigneusement et le plus honnêtement possible. La précision des résultats dépend des réponses.	Molimo Vas da odgovorite što pažljivije i iskrenije možete.
mat4	If on mobile, you may wish to rotate the screen for a better view.	Telefoni kasutades võib telefoni pööramine vastamise mugavamaks teha.	如果您正在使用手机，您可能需要横屏以获得更好的视图。	Se estiver usando um dispositivo móvel, você pode girar a tela para uma melhor visualização.	Если Вы используете мобильное устройство, то можете повернуть экран для лучшего обзора.	Wenn Sie ein Mobilgerät verwenden, können Sie den Bildschirm drehen, um eine bessere Ansicht zu erhalten.	モバイル端末をご利用の場合は、画面を横向きにすると見やすくなります。	Se utilizzi un dispositivo mobile, ti consigliamo di ruotare lo schermo per una visualizzazione migliore.	Si estás usando un dispositivo móvil, quizá debas girar la pantalla para una mejor vista.	Якщо ви зараз користуєтесь цим застосунком з мобільного телефона, ви можете повернути екран, щоби краще бачити.	Jika menggunakan ponsel, silahkan merotasi layar untuk gambaran yang lebih baik	إذا كنت تستخدم هاتفًا محمولاً، قد ترغب في قلب الشاشة لتحسين العرض.	Si vous utilisez un téléphone portable, vous pouvez faire pivoter l'écran pour obtenir une meilleure vue.	Ako koristite mobilni, možete okrenuti ekran radi boljeg pregleda.
fb1	Information	Informatsioon	重要信息	Informação	Информация	Information	情報	Informazioni	Información	Інформація	Informasi	معلومات	Information	Informacije
fb21	Job list	Tööde nimistu	工作列表	Lista de empregos	Список профессий	Liste der Berufe	職業リスト	Elenco lavori	Lista de trabajos	Перелік професій	Daftar pekerjaan	قائمة الوظائف	Liste des métiers	Lista poslova
fb22	People doing these jobs tended to give the most or least similar responses to yours. To save the results, please take screenshots.	Neid töid tegevad inimesed kalduvad andma vastuseid, mis kõige enam või kõige vähem sarnanevad teie vastustega. Tulemuste säilitamiseks salvestage ekraanitõmmised.	从事这些工作的人倾向于给出与您最相似或最不相似的回答。若您想保存结果，请截屏。	As pessoas que realizam esses trabalhos tendem a dar respostas mais ou menos semelhantes às suas. Para salvar os resultados, por favor, faça capturas das telas.	Люди, работающие на этих должностях, давали ответы, наиболее или наименее похожие на Ваши. Если хотите сохранить результаты, сделайте снимок экрана.	Menschen, die diese Berufe ausübten, gaben tendenziell die meisten oder am wenigsten ähnlichen Antworten wie Sie. Um die Ergebnisse zu speichern, machen Sie bitte Screenshots.	これらの職業に就いている人は、あなたと似た回答を最もする、あるいは最もしない傾向がありました。結果はスクリーンショットで保存可能です。	Le persone che fanno questi lavori tendono ad avere dato le risposte più simili o quelle meno simili alle tue. Per salvare i risultati, fai uno screenshot (cattura la schermata).	Las personas que realizan estos trabajos tendieron a dar las respuestas más similares a las tuyas, o las menos similares. Para guardar los resultados, puedes hacer capturas de pantalla.	Представники цих професій найчастіше надавали відповіді, найбільш або найменш схожі з вашою. Щоб зберегти результати, будь ласка, зробіть скріншоти.	Orang lain dengan beberapa pekerjaan ini umumnya memiliki respon yang sangat mirip atau dangat tidak mirip dengan respon Anda. Untuk menyimpan hasil, silahkan menangkap layar (screenshot).	الأشخاص الذين يعملون في هذه الوظائف أعطوا إجابات أكثرلحفظ النتائج، يرجى التقاط لقطات شاشة. تشابهًا أو اختلافًا عن إجاباتك.	Les personnes qui excercent ces métiers ont tendance à donner des réponses différentes ou similaires aux vôtres. Pour sauver les résultats, vous pouvez faire une capture d'écran	Ljudi koji obavljaju ove poslove obično su davali odgovore koji su najviše ili najmanje slični Vašim. Da biste sačuvali rezultate, molimo Vas da uslikate ekran (napravite screen-shotove).
fb23	Jobs with the most similar people	Ametid teile kõige enam sarnasemate inimestega	与您性格特质最相似的工作	Trabalhos com pessoas mais parecidas com você	Профессии людей, наиболее схожих с Вами	Berufe mit den ähnlichsten Personen	最も似ている人が多い職業	Lavori delle persone più simili	Trabajos con las personas más parecidas a ti	Професії, які обрали люди, найбільше схожі на вас	Pekerjaan dengan orang yang sangat mirip	الوظائف التي تتشابه فيها الشخصيات معك أكثر	Métiers avec les personnes les plus similaires	Poslovi ljudi koju su najsličniji Vama.
fb24	Jobs with the least similar people	Ametid teile kõige vähem sarnasemate inimestega	与您性格特质最不相似的工作	Trabalhos com pessoas menos parecidas com você	Профессии людей, наименее схожих с Вами	Berufe mit den am wenigsten ähnlichen Personen	最も似ていない人が多い職業	Lavori delle persone meno simili	Trabajos con las personas menos parecidas a ti	Професії, які обрали люди, найменше схожі на вас	Pekerjaan dengan orang yang sangat tidak mirip	الوظائف التي تتشابه فيها الشخصيات معك أقل	Métiers avec les personnes les plus différentes	Poslovi ljudi koji su najmanje slični Vama.
fb31	Job map	Tööde kaart	工作分布图	Mapa de trabalhos	Карта профессий	Berufe-Karte	職業マップ	Mappa del lavoro	Mapa de trabajos	Карта професій	Peta pekerjaan	خريطة الوظائف	Carte des métiers	Mapa poslova
fb32	Average job incumbents according to their personality profiles	Ametite esindajad keskmiste isiksuseprofiilide põhjal	从业者的性格特质平均水平	Média dos ocupantes dos trabalhos de acordo com seus perfis de personalidade	Средние профили личностных черт представителей разных профессий	Durchschnittliche Berufstätige nach ihrem Persönlichkeitsprofil	平均的な職業従事者の性格プロフィール	Lavoratori tipici in base ai loro profili di personalità	Promedio de perfiles de personalidad en los diferentes trabajos	Типові представники професії відповідно до профілю їх особистості	Rata-rata jabatan pekerjaan berdasarkan profil kepribadian mereka	متوسط العاملين في الوظائف حسب ملفاتهم الشخصية	Les profils de personnalité moyens selon la profession	Prosečni profil osobina ličnosti predstavnika različitih poslova
fb33	Hover over the dots or press on them to see job titles.	Liikuge hiirega üle punktide või vajutage neile, et näha tööde nimesid.	将鼠标悬停在点上或点击以查看工作名称。	Passe o cursor sobre os pontos ou clique neles para ver os títulos dos trabalhos.	Наведите курсор на точки или нажмите на них, чтобы увидеть названия должностей.	Bewegen Sie den Mauszeiger über die Punkte oder drücken Sie darauf, um die Berufsbezeichnungen anzuzeigen.	ドットにカーソルを合わせるか、ドットを押すと職業が表示されます。	Passa il mouse sopra i punti o clicca su di essi per vedere i nomi dei lavori	Pasa el cursor sobre los puntos o haz clic en ellos para ver los títulos de los trabajos.	Наведіть курсор на крапки або натисніть на них, щоб побачити назви професій.	Arahkan kursor ke titik atau tekan untuk melihat jenis pekerjaan.	مرر فوق النقاط أو اضغط عليها لمعرفة أسماء الوظائف.	Survolez les points ou appuyez dessus pour voir le nom des métiers.	Pređite mišem preko tačaka ili pritisnite na njih da biste videli nazive poslova.
here	Why am I here?	Miks ma olen siin?	我为什么处于这个位置？	Por que estou aqui?	Почему я здесь?	Warum bin ich hier?	ここに位置する理由は？	Perché sono qui?	¿Por qué estoy aquí?	Чому я тут?	Mengapa saya di sini?	لماذا أنا هنا؟	Pourquoi je suis ici?	Zašto se nalazim ovde?
whatB5	What is the Big Five?	Mis on Suur Viisik?	什么是大五人格？	O que é o Big Five?	Что такое ""Большая пятёрка""?	Was sind die Big Five?	ビッグファイブとは？	Cosa si intende per Big Five?	¿Qué son los Cinco Grandes?	Що таке ""Велика п'ятірка""?	Apa itu Kepribadian Lima Faktor (Big Five)?	ما هي السمات الخمس الكبرى؟	Qu'est-ce que les cinq grandes dimensions de la personnalité	Šta su Velikih pet osobina ličnosti?
