group	job
Forças Armadas	Ocupações nas Forças Armadas
Gerentes	Gerentes
Gerentes	Autônomos/Proprietários
Gerentes	Chefes de Departamento Geral
Gerentes	Empresários/Empreendedores
Gerentes	Membros de Conselho
Gerentes	Líderes de Equipe
Gerentes	Gerentes Adjuntos Não Especificados
Gerentes	Gerentes/Consultores de Manutenção
Gerentes	Altos Funcionários do Governo
Gerentes	Gerentes Financeiros
Gerentes	Gerentes de Recursos Humanos
Gerentes	Gerentes de Serviços Comerciais e Administração
Gerentes	Gerentes de Vendas e Marketing
Gerentes	Gerentes de Publicidade e Relações Públicas
Gerentes	Gerentes de Pesquisa e Desenvolvimento
Gerentes	Gerentes de Manufatura
Gerentes	Gerentes de Construção
Gerentes	Gerentes de Suprimentos, Distribuição e Afins
Gerentes	Gerentes de Serviços de Tecnologia da Informação e Comunicação
Gerentes	Gerentes de Serviços de Cuidados Infantis
Gerentes	Gerentes de Serviços de Saúde
Gerentes	Gerentes de Assistência Social
Gerentes	Gerentes de Educação
Gerentes	Gerentes de Serviços Profissionais
Gerentes	Gerentes de Hotel
Gerentes	Gerentes de Restaurante
Gerentes	Gerentes de Comércio Varejista e Atacadista
Gerentes	Gerentes de Centros Esportivos, Recreativos e Culturais
Gerentes	Gerentes de Serviços em Geral
Profissionais	Gerentes de Projetos em Geral
Profissionais	Profissionais em Geral
Profissionais	Analistas
Profissionais	Consultores
Profissionais	Assessores
Profissionais	Gerentes de Produtos em Geral
Profissionais	Especialistas em Qualidade em Geral
Profissionais	Químicos
Profissionais	Matemáticos, Atuários e Estatísticos
Profissionais	Biólogos, Botânicos, Zoólogos e Profissionais Relacionados
Profissionais	Consultores de Agricultura, Silvicultura e Pesca (apenas Agrônomos)
Profissionais	Profissionais de Proteção Ambiental
Profissionais	Engenheiros
Profissionais	Engenheiros Industriais e de Produção
Profissionais	Engenheiros Civis
Profissionais	Engenheiros Mecânicos
Profissionais	Engenheiros Químicos
Profissionais	Profissionais de Engenharia em Geral
Profissionais	Engenheiros Eletrecistas
Profissionais	Engenheiros Eletrônicos
Profissionais	Arquitetos de Edifícios
Profissionais	Arquitetos de Paisagistas/Paisagistas
Profissionais	Designers de Produtos e Vestuário
Profissionais	Planejadores Urbanos e de Tráfego
Profissionais	Cartógrafos e Agrimensores
Profissionais	Designers Gráficos e Multimídia
Profissionais	Profissionais de Saúde
Profissionais	Médicos
Profissionais	Médicos Generalistas
Profissionais	Médicos Especialistas
Profissionais	Enfermeiros
Profissionais	Profissionais de Obstetrícia
Profissionais	Veterinários
Profissionais	Dentistas
Profissionais	Farmacêuticos
Profissionais	Fisioterapeutas
Profissionais	Fonoaudiólogos
