group	job
Fuerzas armadas	Ocupaciones de las Fuerzas Armadas
Gerentes	Gerentes
Gerentes	Trabajadores/as autónomos-Propietarios/as únicos/as
Gerentes	Jefes/as de departamento no especificados/as
Gerentes	Trabajadores/as autónomos/Emprendedores/as
Gerentes	Miembros de la junta no especificados/as
Gerentes	Líderes de equipo no especificados/as
Gerentes	Subgerentes no especificados/as
Gerentes	Gerentes/asesores/as de mantenimiento no clasificados/as en otro lugar
Gerentes	Funcionarios/as gubernamentales superiores
Gerentes	Gerentes financieros
Gerentes	Gerentes de recursos humanos
Gerentes	Gerentes de servicios empresariales y administración no clasificados/as en otro lugar
Gerentes	Gerentes de ventas y marketing
Gerentes	Gerentes de publicidad y relaciones públicas
Gerentes	Gerentes de investigación y desarrollo
Gerentes	Gerentes de fabricación
Gerentes	Gerentes de construcción
Gerentes	Gerentes de suministro, distribución y relacionados
Gerentes	Gerentes de servicios de tecnología de la información y comunicaciones
Gerentes	Gerentes de servicios de cuidado infantil
Gerentes	Gerentes de servicios de salud
Gerentes	Gerentes de bienestar social
Gerentes	Directores/as de educación
Gerentes	Directores/as de servicios profesionales no clasificados en otros lugares
Gerentes	Directores/as de hoteles
Gerentes	Directores/as de restaurantes
Gerentes	Directores/as de comercio minorista y mayorista
Gerentes	Directores/as de centros deportivos, recreativos y culturales
Gerentes	Directores/as de servicios no clasificados/as en otros lugares
Profesionales	Gerentes de proyectos no especificados/as
Profesionales	Profesionales no especificados/as
Profesionales	Analistas no especificados/as
Profesionales	Consultores no especificados/as
Profesionales	Asesores/as no especificados/as
Profesionales	Gerentes de productos no especificados/as
Profesionales	Especialistas en calidad no especificados/as
Profesionales	Químicos/as
Profesionales	Matemáticos/as, actuarios/as y estadísticos/as
Profesionales	Biólogos/as, botánicos/as, zoólogos/as y profesionales relacionados/as
Profesionales	Asesores/as agrícolas, forestales y pesqueros (solo agrónomos/as)
Profesionales	Profesionales de la protección del medio ambiente
Profesionales	Profesionales de la ingeniería no especificados
Profesionales	Ingenieros/as industriales y de producción
Profesionales	Ingenieros/as civiles
Profesionales	Ingenieros/as mecánicos/as
Profesionales	Ingenieros/as químicos/as
Profesionales	Profesionales de la ingeniería no clasificados/as en otros lugares
Profesionales	Ingenieros/as eléctricos/as
Profesionales	Ingenieros/as electrónicos/as
Profesionales	Arquitectos/as de la construcción
Profesionales	Paisajistas Arquitectos/as
Profesionales	Diseñadores/as de productos y prendas de vestir
Profesionales	Planificadores/as urbanos/as y de tráfico
Profesionales	Cartógrafos/as y topógrafos/as
Profesionales	Diseñadores/as gráficos/as y multimedia
Profesionales	Profesionales de la salud (sin especificar)
Profesionales	Médicos/as (sin especificar)
Profesionales	Médicos/as generalistas
Profesionales	Médicos/as especialistas
Profesionales	Profesionales de enfermería
Profesionales	Profesionales de obstetricia
Profesionales	Veterinarios/as
Profesionales	Dentistas
Profesionales	Farmacistas
Profesionales	Fisioterapeutas
Profesionales	Audiólogos/as y logopedas
Profesionales	Profesionales de la salud no clasificados/as en otros lugares
Profesionales	Profesores/as no especificados/as
Profesionales	Profesores/as universitarios/as y de educación superior
Profesionales	Profesionales de la investigación no clasificados/as en otros lugares
Profesionales	Profesores/as de formación profesional
Profesionales	Profesores/as de educación secundaria
Profesionales	Profesores/as de escuela primaria
Profesionales	Educadores/as de la primera infancia
Profesionales	Otros/as profesores/as de idiomas, música y artes (escuelas de aficionados/as, clases particulares)
Profesionales	Especialistas en métodos educativos
Profesionales	Profesores/as de necesidades especiales
Profesionales	Profesores/as de idiomas
Profesionales	Profesionales de la enseñanza no clasificados/as en otros lugares
Profesionales	Profesionales de la enseñanza/educación no clasificados(as en otros lugares
Profesionales	Contables
Profesionales	Asesores/as financieros/as y de inversiones
Profesionales	Analistas financieros/as
Profesionales	Analistas de gestión y organización
Profesionales	Profesionales de administración de políticas
Profesionales	Profesionales de personal y carreras profesionales
Profesionales	Profesionales de formación y desarrollo profesional de trabajadores/as
Profesionales	Profesionales de publicidad y marketing
Profesionales	Profesionales de relaciones públicas
Profesionales	Profesionales de sistemas y analistas
Profesionales	Desarrolladores/as de software
Profesionales	Desarrolladores/as web y multimedia
Profesionales	Desarrolladores/as y analistas de software y aplicaciones no clasificados/as en otros lugares (probadores/as de software)
Profesionales	Diseñadores/as y administradores/as de bases de datos
Profesionales	Administradores/as de sistemas
Profesionales	Profesionales de bases de datos y redes no clasificados en otros lugares
Profesionales	Abogados/as
Profesionales	Jueces/Juezas
Profesionales	Profesionales del derecho
Profesionales	Archivistas y conservadores/as
Profesionales	Bibliotecarios/as y profesionales de la información relacionados/as
Profesionales	Economistas
Profesionales	Psicólogos/as
Profesionales	Profesionales del trabajo social y la asesoría
Profesionales	Profesionales religiosos/as
Profesionales	Editores/as no especificados/as (textos, libros, etc.)
Profesionales	Autores/as y escritores/as relacionados/as
Profesionales	Periodistas
Profesionales	Traductores/as, intérpretes y otros/as lingüistas
Profesionales	Artistas visuales
Profesionales	Músicos/as, cantantes y compositores/as
Profesionales	Directores/as y productores/as de cine, teatro y afines
Profesionales	Actores y actrices
Técnicos/técnicas	Profesionales asociados/as no especificados/as
Técnicos/técnicas	Técnicos/as no especificados/as
Técnicos/técnicas	Jefes/as de turno no especificados/as
Técnicos/técnicas	Coordinadores/as no especificados/as
Técnicos/técnicas	Técnicos/asistentes de laboratorio no especificados/as
Técnicos/técnicas	Inspectores/as no especificados/as
Técnicos/técnicas	Funcionarios/as no especificados/as
Técnicos/técnicas	Técnicos/as de ingeniería civil
Técnicos/técnicas	Técnicos/as de ingeniería eléctrica
Técnicos/técnicas	Técnicos/as de ingeniería mecánica
Técnicos/técnicas	Delineantes
Técnicos/técnicas	Supervisores/as de minería, fabricación y construcción
Técnicos/técnicas	Supervisores/as de fabricación
Técnicos/técnicas	Supervisores/as de construcción
Técnicos/técnicas	Técnicos/as de control de procesos
Técnicos/técnicas	Técnicos/as en ciencias biológicas (excluidos/as los médicos/as)
Técnicos/técnicas	Técnicos/as forestales
Técnicos/técnicas	Ingenieros/as de barcos
Técnicos/técnicas	Oficiales y pilotos/as de cubierta de barcos
Técnicos/técnicas	Pilotos/as de aeronaves y profesionales asociados/as relacionados/as
Técnicos/técnicas	Controladores/as de tránsito aéreo
Técnicos/técnicas	Técnicos/as en equipos terapéuticos y de imágenes médicas
Técnicos/técnicas	Técnicos/as de laboratorio médico y de patología
Técnicos/técnicas	Técnicos/as en prótesis médicas y dentales
Técnicos/técnicas	Asistentes y terapeutas dentales
Técnicos/técnicas	Ópticos/as dispensadores/as
Técnicos/técnicas	Técnicos/as y asistentes de fisioterapia (masajistas)
Técnicos/técnicas	Asistentes médicos/as
Técnicos/técnicas	Inspectores/as y asociados/as de salud ambiental y ocupacional
Técnicos/técnicas	Trabajadores/as de ambulancias
Técnicos/técnicas	Oficiales de crédito y préstamos
Técnicos/técnicas	Profesionales asociados/as de contabilidad
Técnicos/técnicas	Profesionales asociados/as de estadística, matemática y afines
Técnicos/técnicas	Tasadores/as y evaluadores/as de pérdidas
Técnicos/técnicas	Representantes de seguros
Técnicos/técnicas	Representantes de ventas comerciales
Técnicos/técnicas	Compradores/as
Técnicos/técnicas	Agentes de aduanas y de transporte
Técnicos/técnicas	Planificadores/as de conferencias y eventos
Técnicos/técnicas	Agentes de empleo y contratistas
Técnicos/técnicas	Agentes inmobiliarios y administradores de propiedades
Técnicos/técnicas	Supervisores/as de oficina
Técnicos/técnicas	Secretarios/as administrativos/as y ejecutivos/as
Técnicos/técnicas	Profesionales asociados de regulación gubernamental (no especificados/as)
Técnicos/técnicas	Inspectores/as de aduanas y fronteras
Técnicos/técnicas	Inspectores/es y detectives de policía
Técnicos/técnicas	Profesionales asociados de regulación gubernamental no clasificados/as en otra parte
Técnicos/técnicas	Profesionales asociados legales y relacionados
Técnicos/técnicas	Profesionales asociados de trabajo social
Técnicos/técnicas	Entrenadores/as, instructores/as y oficiales deportivos
Técnicos/técnicas	Instructores/as y líderes de programas de acondicionamiento físico y recreación
Técnicos/técnicas	Fotógrafos/as
Técnicos/técnicas	Diseñadores/as y decoradores/as de interiores
Técnicos/técnicas	Chefs
Técnicos/técnicas	Otros/as profesionales asociados/as artísticos y culturales
Técnicos/técnicas	Técnicos/as de operaciones de tecnología de la información y las comunicaciones
Técnicos/técnicas	Técnicos/as de radiodifusión y audiovisuales
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as generales y mecanógrafos/as (no especificados)
Trabajadores/trabajadoras de apoyo administrativo	Secretarios/as (generales)
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de ingreso de datos
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de servicio al cliente no especificados
Trabajadores/trabajadoras de apoyo administrativo	Cajeros/as bancarios/as
Trabajadores/trabajadoras de apoyo administrativo	Cobradores/as de deudas y trabajadores/as relacionados/as
Trabajadores/trabajadoras de apoyo administrativo	Consultores/as y empleados/as de viajes
Trabajadores/trabajadoras de apoyo administrativo	Recepcionistas de hoteles
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de investigación
Trabajadores/trabajadoras de apoyo administrativo	Recepcionistas (general)
Trabajadores/trabajadoras de apoyo administrativo	Entrevistadores/as de encuestas e investigación de mercado
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de contabilidad y teneduría de libros
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de nóminas
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de almacén
Trabajadores/trabajadoras de apoyo administrativo	Empleados/as de transporte
