group	job
Angkatan Bersenjata	Angkatan Bersenjata Republik Indonesia (ABRI)[Selain Polisi Republik Indonesia (POLRI)]
Manajer	Manajer
Manajer	Self-employed/Pemilik Usaha Perseorangan
Manajer	Kepala Departemen Lainnya
Manajer	Self-employed/Wirausahawan/Wiraswasta
Manajer	Anggota Dewan Perusahaan Lainnya
Manajer	Pemimpin Tim Lainnya
Manajer	Wakil Manajer Lainnya
Manajer	Manajer/Penasihat Pemeliharaan (Maintenance Managers/Advisers) Lainnya
Manajer	Pejabat Senior Pemerintahan
Manajer	Manajer Keuangan
Manajer	Manajer Sumber Daya Manusia (Human Resource)
Manajer	Manajer Jasa dan Administrasi Lainnya
Manajer	Manajer Penjualan dan Pemasaran (Sales and Marketing)
Manajer	Manajer Periklanan dan Hubungan Masyarakat (Advertising and Public Relations)
Manajer	Manajer Riset dan Pengembangan
Manajer	Manajer Manufaktur
Manajer	Manajer Konstruksi
Manajer	Manajer Pemasok, Distribusi dan Kegiatan Terkait
Manajer	Manajer Teknologi Informasi dan Komunikasi
Manajer	Manager Jasa Penitipan Anak (Child Care Services)
Manajer	Manajer Jasa Kesehatan
Manajer	Manajer Kesejahteraan Sosial
Manajer	Manajer Pendidikan
Manajer	Manajer Layanan Profesional Lainnya
Manajer	Manajer Perhotelan
Manajer	Manajer Restoran
Manajer	Manajer Perdagangan Eceran dan Grosir (Retail and Wholesale Trade)
Manajer	Manajer Pusat Olahraga, Rekreasi, dan Budaya
Manajer	Manajer Jasa Lainnya yang tidak diklasifikasikan
Tenaga Ahli	Manajer Projek Lainnya
Tenaga Ahli	Profesional/Tenaga Ahli Lainnya
Tenaga Ahli	Analis Lainnya
Tenaga Ahli	Konsultan Lainnya
Tenaga Ahli	Penasihat Lainnya
Tenaga Ahli	Manajer Produk Lainnya
Tenaga Ahli	Spesialis Kualitas (Quality Specialists) Lainnya
Tenaga Ahli	Ahli Kimia
Tenaga Ahli	Ahli Matematika, Aktuaris, dan Ahli Statistik
Tenaga Ahli	Ahli Biologi, Botani, Ilmu Hewan, dan Ahli Terkait
