group	job
Forze Armate	Forze Armate
Dirigenti	Manager
Dirigenti	Lavoratori autonomi/Proprietari esclusivi / Lavoratrici autonome/Proprietarie esclusive
Dirigenti	Capi dipartimento non specificati
Dirigenti	Lavoratori autonomi/Imprenditori / Lavoratrici autonome/Imprenditrici
Dirigenti	Membri del Consiglio di amministrazione non specificati
Dirigenti	Capi squadra non specificati
Dirigenti	Vicedirettori non specificati/vicedirettrici non specificate
Dirigenti	Resposabili/Consulenti di manutenzione non classificati/e altrove
Dirigenti	Alti funzionari governativi/Alte funzionarie governative
Dirigenti	Responsabili finanziari
Dirigenti	Responsabili delle risorse umane
Dirigenti	Responsabili amministrativi e dei servizi aziendali non classificati/e altrove
Dirigenti	Responsabili vendite e marketing
Dirigenti	Responsabili della pubblicità e delle pubbliche relazioni
Dirigenti	Responsabili Ricerca e Sviluppo
Dirigenti	Responsabili della produzione
Dirigenti	Responsabile dei lavori
Dirigenti	Responsabili di fornitura, distribuzione e affini
Dirigenti	Responsabili dei servizi tecnologici di informazione e comunicazione
Dirigenti	Responsabili dei servizi di assistenza all'infanzia
Dirigenti	Responsabili dei servizi sanitari
Dirigenti	Responsabili della previdenza sociale
Dirigenti	Responsabili dell'istruzione
Dirigenti	Responsabili di servizi professionali non classificati/e altrove
Dirigenti	Direttori d'albergo/direttrici d'albergo
Dirigenti	Gestori di ristoranti
Dirigenti	Responsabili del commercio al dettaglio e all'ingrosso
Dirigenti	Dirigenti di centri sportivi, ricreativi e culturali
Dirigenti	Responsabili di servizi non classificati/e altrove
Professioni intellettuali e scientifiche	Responsabili di progetto non specificati/e
Professioni intellettuali e scientifiche	Professionisti non specificati/professioniste non specificate
Professioni intellettuali e scientifiche	Analisti non specificati/analiste non specificate
Professioni intellettuali e scientifiche	Consulenti non specificati/e
Professioni intellettuali e scientifiche	Consiglieri non specificati/Consigliere non specificate
Professioni intellettuali e scientifiche	Responsabili di prodotto non specificati/e
Professioni intellettuali e scientifiche	Specialisti della qualità non specificati/Specialiste della qualità non specificate
Professioni intellettuali e scientifiche	Chimici/chimiche
Professioni intellettuali e scientifiche	Matematici, attuari e statistici
Professioni intellettuali e scientifiche	Biologi, botanici, zoologi e professionisti affini/Biologhe, botaniche, zoologhe e professioniste affini
Professioni intellettuali e scientifiche	Consulenti per l'agricoltura, la silvicoltura e la pesca (solo agronomi/e)
Professioni intellettuali e scientifiche	Professionisti della tutela ambientale/professioniste della tutela ambientale
Professioni intellettuali e scientifiche	Professionisti dell'ingegneria (non specificati)/Professioniste dell'ingegneria (non specificate)
Professioni intellettuali e scientifiche	Ingegneri industriali e di produzione
Professioni intellettuali e scientifiche	Ingegneri civili
Professioni intellettuali e scientifiche	Ingegneri meccanici
Professioni intellettuali e scientifiche	Ingegneri chimici
Professioni intellettuali e scientifiche	Professionisti di ingegneria non classificati altrove/Professionistie di ingegneria non classificate altrove
Professioni intellettuali e scientifiche	Ingegneri elettrici
Professioni intellettuali e scientifiche	Ingegneri elettronici
Professioni intellettuali e scientifiche	Architetti edili
Professioni intellettuali e scientifiche	Architetti del paesaggio
Professioni intellettuali e scientifiche	Designer di prodotti e indumenti
Professioni intellettuali e scientifiche	Pianificatori urbanistici e del traffico/pianificatrici urbanistiche e del traffico
Professioni intellettuali e scientifiche	Cartografi e geometri
Professioni intellettuali e scientifiche	Progettisti grafici e multimediali/progettiste grafiche e multimediali
Professioni intellettuali e scientifiche	Professionisti sanitari (non specificati)/professioniste sanitarie (non specificate)
Professioni intellettuali e scientifiche	Medici (non specificati)
Professioni intellettuali e scientifiche	Medici generalisti
Professioni intellettuali e scientifiche	Medici specialisti
Professioni intellettuali e scientifiche	Professionisti infermieristici/professioniste infermieristiche
Professioni intellettuali e scientifiche	Professionisti ostetrici/professioniste ostetriche
Professioni intellettuali e scientifiche	Veterinari/veterinarie
Professioni intellettuali e scientifiche	Dentisti
Professioni intellettuali e scientifiche	Farmacisti/farmaciste
Professioni intellettuali e scientifiche	Fisioterapisti/fisioterapiste
Professioni intellettuali e scientifiche	Audiologi e logopedisti/audiologhe e logopediste
Professioni intellettuali e scientifiche	Professionisti sanitari non classificati altrove/professioniste sanitarie non classificate altrove
Professioni intellettuali e scientifiche	Insegnanti non specificati/e
Professioni intellettuali e scientifiche	Docenti universitari e di istruzione superiore/docenti universitarie e di istruzione superiore
Professioni intellettuali e scientifiche	Professionisti della ricerca non classificati altrove/professioniste della ricerca non classificate altrove
Professioni intellettuali e scientifiche	Insegnanti della formazione professionale
Professioni intellettuali e scientifiche	Insegnanti dell'istruzione secondaria
Professioni intellettuali e scientifiche	Insegnanti della scuola primaria
Professioni intellettuali e scientifiche	Educatori della prima infanzia/educatrici della prima infanzia
Professioni intellettuali e scientifiche	Altri/e insegnanti di lingua, musica, arte (scuole per hobby, lezioni private)
Professioni intellettuali e scientifiche	Specialisti in Metodi Educativi/specialiste in metodi educativi
Professioni intellettuali e scientifiche	Insegnanti di sostegno
Professioni intellettuali e scientifiche	Insegnanti di lingue
Professioni intellettuali e scientifiche	Professionisti dell'insegnamento non classificati altrove/professioniste dell'insegnamento non classificate altrove
Professioni intellettuali e scientifiche	Professionisti dell'insegnamento/della formazione non classificati altrove/professioniste dell'insegnamento/della formazione non classificate altrove
Professioni intellettuali e scientifiche	Contabili
Professioni intellettuali e scientifiche	Consulenti finanziari e di investimento
Professioni intellettuali e scientifiche	Analisti finanziari/analiste finanziarie
Professioni intellettuali e scientifiche	Analisti di gestione e organizzazione/analiste di gestione e organizzazione
Professioni intellettuali e scientifiche	Professionisti dell'amministrazione delle politiche/professioniste dell'amministrazione delle politiche
Professioni intellettuali e scientifiche	Professionisti del personale e delle carriere/professioniste del personale e delle carriere
Professioni intellettuali e scientifiche	Professionisti della formazione e dello sviluppo del personale/professioniste della formazione e dello sviluppo del personale
