group	job
Forças Armadas	Ocupações nas forças armadas
Gerentes	Gerentes
Gerentes	Autónomos/Proprietários
Gerentes	Chefes de departamento
Gerentes	Empresários/Empreendedores
Gerentes	Membros do conselho
Gerentes	Líderes de equipas
Gerentes	Gestores Adjuntos
Gerentes	Gestores/ consultores de manutenção
Gerentes	Altos funcionários do governo
Gerentes	Gestores financeiros
Gerentes	Gestores de  Recursos Humanos
Gerentes	Gestores de serviços comerciais e Administrativos
Gerentes	Gerentes/Gestores de Vendas a Marketing
Gerentes	Gestores de Publicidade e Relações Públicas
Gerentes	Gestores de Pesquisa e Desenvolvimento
Gerentes	Gerentes/Gestores de Manufatura
Gerentes	Gestores de Construção
Gerentes	GerentesGestores de Sumplementos, Distribuição e Afins
Gerentes	Gestores de serviços de Tecnologia de informação e Comunicação
Gerentes	Gestores de Seviços de cuidados Infantis
Gerentes	Gestores de Serviços de saúde
Gerentes	Gestores de assistência Social
Gerentes	Gestor de educação
Gerentes	Gestores de serviços profissionais
Gerentes	Gerentes/Gestores de Hoteis
Gerentes	Gerente de restaurante
Gerentes	Gerente/Gestor de Comércio a grosso e a Retálho
Gerentes	Gestores de Centros desportivos, Recreativos e Culturais
Gerentes	Gestores de serviços gerais
Profissionais	Gestores de projectos
Profissionais	Profissionais em geral
Profissionais	Analistas
Profissionais	Consultores
Profissionais	Assessores
Profissionais	Gerentes/Gestores de produtos
Profissionais	Especialistas em qualidade
Profissionais	Químicos
Profissionais	Matemáticos, estatísticos
Profissionais	Biólogos, Botánicos. Zoológos e profissionais relacionados
Profissionais	Consultores de agricultura, sivicultura e pesca (Apenas agrónomos)
Profissionais	Profissionais de protecção ambiental
Profissionais	Engenheiros
Profissionais	Engenheiros industriais e de produção
Profissionais	Engenheiros civis
Profissionais	Engenheiros mecânicos
Profissionais	Engenheiros Químicos
Profissionais	Profissionais de engenharia em geral
Profissionais	Engenheiros electricistas
Profissionais	Engenheiros electrónicos
Profissionais	Arquitetos de edifícios
Profissionais	Arquitetos de paisagem/Paisagistas
Profissionais	Designers de produtos e vestuário
Profissionais	Planeadores Urbanos e de Tráfego
Profissionais	Cartógrafos e Agrimensores
Profissionais	Designers gráficos e Multimédia
Profissionais	Profissionais de saúde
Profissionais	Médicos
Profissionais	Médicos gerais
Profissionais	Médicos especialistas
Profissionais	Enfermeiros
Profissionais	Médicos de Obstetrícia/Médicos Obstetras
Profissionais	Veterinários
Profissionais	Dentistas/Estomatologistas
Profissionais	Farmacéuticos
Profissionais	Fisioterapeutas
Profissionais	Fonoaudíologos
Profissionais	Profissionais de saúde
Profissionais	Professores
