page	en	et	ru	zh	bp	de	jp	it	es	ar	uk	idn	fr
1	Work on improving myself	Töötan enda parandamise nimel	Я работаю над тем, чтобы улучшить себя	我努力提高自己	Busco me aperfeiçoar	Daran arbeiten, mich zu verbessern	自分を高めるよう努力する	Lavoro per migliorare me stesso	Trabajo en mejorarme a mí mismo/a.	أعمل على تحسين نفسي.	Працюю над самовдосконаленням	Saya berusaha mengembangkan diri	Travaille à m'améliorer
1	Have a rich vocabulary	Mul on rikas sõnavara	У меня богатый словарный запас	我的词汇表达很丰富	Possuo um vocabulário rico	Über einen reichen Wortschatz verfügen	豊富な語彙を持つ	Ho un ricco vocabolario	Tengo un vocabulario amplio.	لدي مفردات غنية.	Маю багатий словниковий запас	Saya memiliki kosakata yang luas	J'ai un vocabulaire riche
1	Do things in a logical order	Teen asju loogilises järjekorras	Я делаю дела в логическом порядке	我按照逻辑顺序做事	Faço as coisas de forma lógica	Dinge in einer logischen Reihenfolge erledigen	物事を論理的な順序で行う	Faccio le cose in ordine logico	Hago las cosas en un orden lógico.	أفعل الأشياء بترتيب منطقي.	Виконую дії в логічній послідовності	Saya melakukan kegiatan berdasarkan urutan logika	Fais les choses dans un ordre logique
1	Leave a mess in my room	Mu tuba on sassis	В моей комнате беспорядок	我在我的房间留下混乱	Deixo meu quarto bagunçado	Ein Chaos in meinem Zimmer hinterlassen	部屋を散らかしたままにする	Lascio la mia stanza in disordine	Dejo mi cuarto desordenado.	أترك فوضى في غرفتي.	Залишаю безлад у своїй кімнаті	Saya membiarkan kamar berantakan	Laisse ma chambre en désordre
1	Believe in the power of fate	Usun saatuse jõusse	Я верю в силу судьбы	我相信命运的力量	Acredito no poder do destino	An die Macht des Schicksals glauben	運命の力を信じている	Credo nel potere del destino	Creo en el poder del destino.	أؤمن بقوة القدر.	Вірю в долю	Saya percaya akan kekuatan takdir	Crois au pouvoir du destin
1	Like to stand out in a crowd	Mulle meeldib inimeste hulgas silma paista	Мне нравится выделяться из толпы	我喜欢在人群中脱颖而出	Gosto de me destacar em uma multidão	Gefallen daran finden, in einer Menge aufzufallen	群衆の中で目立つのが好き	Mi piace distinguermi in mezzo alla folla	Me gusta destacar entre la multitud.	أحب أن أبرز في حشد من الناس.	Люблю виділятися з натовпу	Saya suka menonjol dari orang banyak	Aime me démarquer dans une foule
1	Am not easily affected by my emotions	Ma ei lase oma tunnetel ennast kergesti mõjutada	Мои эмоции не сильно влияют на меня	我不会轻易受自己情绪的影响	Não sou facilmente afetado pelas minhas emoções	Nicht leicht von meinen Gefühlen beeinflusst sein	感情にあまり左右されない	Non sono facilmente influenzato dalle mie emozioni	No me afectan fácilmente mis emociones.	لا أتأثر بمشاعري بسهولة.	Не піддаюся впливу емоцій з легкістю	Saya tidak mudah terbawa emosi	Je ne suis pas facilement affecté·e par mes émotions
1	Want to be in charge	Tahan olla juhirollis	Я хочу быть главным / главной	我想要掌控	Eu quero estar no comando	Das Sagen haben wollen	物事を支配したい	Voglio essere al comando	Quiero ser quien tome las decisiones.	أريد أن أكون من يتخذ القرارات.	Хочу бути головним (головною)	Saya ingin mengendalikan segala hal	Veux être responsable
1	Don’t hesitate to express an unpopular opinion	Ma ei kõhkle, kui on vaja ebapopulaarne arvamus välja öelda	Я не боюсь высказывать непопулярное мнение	我毫不犹豫地表达不受欢迎的观点	Não tenho problema em expressar uma opinão contrária/impopular	Nicht zögern eine unbeliebte Meinung zu äußern	人気のない意見でも遠慮なく表明する	Non esito ad esprimere un'opinione impopolare	No dudo en expresar una opinión impopular.	لا أتردد في التعبير عن رأي غير شعبي.	Без вагань висловлюю непопулярну думку	Saya berani mengemukakan pendapat yang tidak umum	N'hésite pas à exprimer une opinion impopulaire
1	Love to learn new things	Armastan uusi asju õppida	Я люблю учить что-то новое	我喜欢学习新事物	Adoro aprender coisas novas	Es lieben neue Dinge zu lernen	新しいことを学ぶのが大好き	Amo imparare cose nuove	Me encanta aprender cosas nuevas.	أحب أن أتعلم أشياء جديدة.	Люблю навчатися новому	Saya suka mempelajari hal baru	Aime apprendre de nouvelles choses
