group	job
Военнослужащие	Военнослужащие
Руководители	Руководители
Руководители	Индивидуальные предприниматели
Руководители	Руководители отделов (без уточнения)
Руководители	Предприниматели
Руководители	Члены правления (без уточнения)
Руководители	Руководители команд (без уточнения)
Руководители	Заместители руководителей (без уточнения)
Руководители	Руководители/консультанты по обслуживанию (без уточнения)
Руководители	Высшие правительственные служащие
Руководители	Управляющие финансовой деятельностью
Руководители	Управляющий по кадрам
Руководители	Управляющие финансово-экономической и административной деятельностью, не входящие в другие группы
Руководители	Руководители служб по сбыту и маркетингу
Руководители	Руководители служб по рекламе и связям с общественностью
Руководители	Руководители подразделений по научным исследованиям и разработкам
Руководители	Руководители подразделений (управляющие) в обрабатывающей промышленности
Руководители	Руководители подразделений (управляющие) в строительстве
Руководители	Руководители служб по снабжению, распространению товаров и аналогичным видам деятельности
Руководители	Руководители служб и подразделений в сфере информационно-коммуникационных технологий
Руководители	Руководители служб по работе и уходу за детьми
Руководители	Руководители служб в сфере здравоохранения
Руководители	Руководители служб в сфере социального обеспечения
Руководители	Руководители служб и подразделений в сфере образования
Руководители	Руководители служб в сфере социальных услуг, не входящие в другие группы
Руководители	Руководители в отелях (гостиницах)
Руководители	Руководители в ресторанах
Руководители	Руководители (управляющие) в розничной и оптовой торговле
Руководители	Руководители спортивных и культурных центров, других мест отдыха
Руководители	Руководители иных сфер обслуживания, не входящие в другие группы
Специалисты-профессионалы	Руководители проектов (без уточнения)
Специалисты-профессионалы	Ведущие специалисты (без уточнения)
Специалисты-профессионалы	Аналитик (без уточнения)
Специалисты-профессионалы	Консультанты (без уточнения)
Специалисты-профессионалы	Советник (без уточнения)
Специалисты-профессионалы	Менеджеры по продукту (без уточнения)
Специалисты-профессионалы	Специалисты по качеству (без уточнения)
Специалисты-профессионалы	Химики
Специалисты-профессионалы	Математики, актуарии и статистики
Специалисты-профессионалы	Биологи, ботаники, зоологи и специалисты-профессионалы родственных занятий
Специалисты-профессионалы	Специалисты (консультанты) в области сельского, лесного и рыбного хозяйств
Специалисты-профессионалы	Специалисты в области защиты окружающей среды
Специалисты-профессионалы	Инженеры в промышленности и на производстве
Специалисты-профессионалы	Инженеры в промышленности и на производстве
Специалисты-профессионалы	Инженеры по гражданскому строительству
Специалисты-профессионалы	Инженеры-механики
Специалисты-профессионалы	Инженеры-химики
Специалисты-профессионалы	Специалисты-профессионалы в области техники, не входящие в другие группы
Специалисты-профессионалы	Инженеры-электрики
Специалисты-профессионалы	Инженеры-электроники
Специалисты-профессионалы	Архитекторы зданий и сооружений
Специалисты-профессионалы	Ландшафтные архитекторы
Специалисты-профессионалы	Дизайнеры товаров и одежды
Специалисты-профессионалы	Проектировщики-градостроители и проектировщики транспортных узлов
Специалисты-профессионалы	Геодезисты, картографы и топографы
Специалисты-профессионалы	Графические и мультимедийные дизайнеры
Специалисты-профессионалы	Специалисты-профессионалы в области здравоохранения
Специалисты-профессионалы	Врачи
Специалисты-профессионалы	Врачи общей практики
Специалисты-профессионалы	Врачи-специалисты
Специалисты-профессионалы	Специалисты-профессионалы по медицинскому уходу
Специалисты-профессионалы	Специалисты-профессионалы по акушерству
Специалисты-профессионалы	Ветеринарные врачи
Специалисты-профессионалы	Стоматологи
Специалисты-профессионалы	Фармацевты
Специалисты-профессионалы	Физиотерапевты
Специалисты-профессионалы	Аудиологи и специалисты по развитию и восстановлению речи
