group	job
Vojska	Vojna zanimanja
Rukovodioci	Rukovodioci
Rukovodioci	Samozaposleni/Vlasnici preduzetničkih radnji
Rukovodioci	Rukovodioci odeljenja/sektora, nespecifikovano
Rukovodioci	Samozaposleni/Preduzetnici
Rukovodioci	Članovi upravnog odbora, nespecifikovano
Rukovodioci	Vođe timova, nespecifikovano
Rukovodioci	Zamenici rukovodioca, nespecifikovano
Rukovodioci	Rukovodioci za održavanje/Savetnici, nerazvrstani na drugom mestu
Rukovodioci	Visoki državni zvaničnici
Rukovodioci	Finansijski rukovodioci
Rukovodioci	Rukovodioci za ljudske resurse
Rukovodioci	Rukovodioci za poslovne usluge i administraciju, nerazvrstani na drugom mestu
Rukovodioci	Rukovodioci za prodaju i marketing
Rukovodioci	Rukovodioci za odnose s javnošću i propagandu
Rukovodioci	Rukovodioci za istraživanje i razvoj
Rukovodioci	Rukovodioci za proizvodnju
Rukovodioci	Rukovodioci u građevinarstvu 
Rukovodioci	Rukovodioci nabavke i distribucije i srodni
Rukovodioci	Rukovodioci informaciono-komunikacionih tehnologija
Rukovodioci	Rukovodioci stručnih službi za brigu o detetu
Rukovodioci	Rukovodioci stručnih službi u zdravstvu
Rukovodioci	Rukovodioci stručnih službi za socijalnu zaštitu i resocijalizaciju
Rukovodioci	Rukovodioci u obrazovanju
Rukovodioci	Rukovodioci istraživačkih organizacija, ustanova kulture i drugi
Rukovodioci	Rukovodioci hotela
Rukovodioci	Rukovodioci restorana
Rukovodioci	Rukovodioci u trgovini na veliko i malo
Rukovodioci	Rukovodioci sportskih, rekreativnih i kulturnih cenatara
Rukovodioci	Rukovodioci u ostalim uslužnim delatnostima, nerazvrstani na drugom mestu
Stručnjaci i umetnici	Projekt menadžer, nespecifikovano
Stručnjaci i umetnici	Stručnjaci, nespecifikovano
Stručnjaci i umetnici	Analitičari, nespecikovano
Stručnjaci i umetnici	Stručni konsultanti, nespecifikovano
Stručnjaci i umetnici	Stručni savetnici, nespecifikovano
Stručnjaci i umetnici	Menadžer proizvoda, nespecifikovano
Stručnjaci i umetnici	Stručnjaci kontole kvaliteta, nespecifikovano
Stručnjaci i umetnici	Hemičari i fizikohemičari
Stručnjaci i umetnici	Matematičari, aktuari (stručnjaci osiguranaja) i statističari
Stručnjaci i umetnici	Biolozi, botaničari, zoolozi i srodni stručnjaci
