group	job
Silahlı Kuvvetler	Silahlı Kuvvetlerdeki Meslekler
Yöneticilik	Yöneticiler
Yöneticilik	Kendi işinde çalışanlar
Yöneticilik	Bölüm Başkanları (Belirtilmemiş)
Yöneticilik	Girişimciler
Yöneticilik	Kurul Üyeleri (Belirtilmemiş)
Yöneticilik	Ekip Liderleri (Belirtilmemiş)
Yöneticilik	Müdür Yardımcıları (Belirtilmemiş)
Yöneticilik	Başka Yerde Sınıflandırılmamış Bakım Yöneticileri ve Danışmanları
Yöneticilik	Üst Düzey Devlet Yetkilileri
Yöneticilik	Finans Müdürleri
Yöneticilik	İnsan Kaynakları Yöneticileri
Yöneticilik	Başka Yerde Sınıflandırılmamış İş ve İdari Hizmetlerden Sorumlu Müdürler
Yöneticilik	Satış ve Pazarlama Yöneticileri
Yöneticilik	Halkla İlişkiler ve Reklamcılık Yöneticileri
Yöneticilik	Araştırma ve Geliştirme Yöneticileri
Yöneticilik	Üretim Müdürleri
Yöneticilik	Şantiye Müdürleri
Yöneticilik	Tedarik Zinciri Müdürleri
Yöneticilik	Bilgi ve İletişim Teknolojileri Yöneticileri
Yöneticilik	Çocuk Bakım Hizmetleri Müdürleri
Yöneticilik	Sağlık Hizmetleri Müdürleri
Yöneticilik	Sosyal Yardım Müdürleri
Yöneticilik	Eğitim Yöneticileri
Yöneticilik	Başka Yerde Sınıflandırılmamış Profesyonel Hizmetler Yöneticileri
Yöneticilik	Otel Yöneticileri
Yöneticilik	Restoran Yöneticileri
Yöneticilik	Perakende ve Toptan Ticaret Yöneticileri
Yöneticilik	Spor, Rekreasyon ve Kültür Merkezi Yöneticileri
Yöneticilik	Başka Yerde Sınıflandırılmamış Servis Yöneticileri
Profesyoneller	Proje Yöneticileri (Belirtilmemiş)
Profesyoneller	Profesyoneller (Belirtilmemiş)
Profesyoneller	Analistler (Belirtilmemiş)
Profesyoneller	Danışmanlar (Belirtilmemiş)
Profesyoneller	Danışmanlar (Belirtilmemiş)
Profesyoneller	Ürün Yöneticileri (Belirtilmemiş)
Profesyoneller	Kalite Kontrol Uzmanları (Belirtilmemiş)
Profesyoneller	Kimyagerler
Profesyoneller	Matematikçi, Aktüer ve İstatistikçiler
Profesyoneller	Biyolog, Botanikçi, Zoolog ve İlişkili Uzmanlıklar
Profesyoneller	Tarımsal Üretim, Ormancılık ve Su Ürünleri Danışmanları (Sadece Ziraat Mühendisleri)
Profesyoneller	Çevre Koruma Uzmanları
Profesyoneller	Mühendislik Uzmanları (Belirtilmemiş)
Profesyoneller	Endüstri ve Üretim Mühendisleri
Profesyoneller	İnşaat Mühendisleri
Profesyoneller	Makine Mühendisleri
Profesyoneller	Kimya Mühendisleri
Profesyoneller	Başka Yerde Sınıflandırılmamış Mühendislik Uzmanları
Profesyoneller	Elektrik Mühendisleri
Profesyoneller	Elektronik Mühendisleri
Profesyoneller	Mimarlar
Profesyoneller	Peyzaj Mimarları
Profesyoneller	Ürün ve Giyim Tasarımcıları
Profesyoneller	Şehir ve Ulaşım Plancıları
Profesyoneller	Harita ve Kadastro Mühendisleri
Profesyoneller	Grafik ve Multimedya Tasarımcıları
Profesyoneller	Sağlık Uzmanları (Belirtilmemiş)
Profesyoneller	Tıp Doktorları (Belirtilmemiş)
Profesyoneller	Aile Hekimleri
Profesyoneller	Uzman Hekimler
Profesyoneller	Hemşireler
Profesyoneller	Ebeler
Profesyoneller	Veterinerler
Profesyoneller	Diş Hekimleri
Profesyoneller	Eczacılar
Profesyoneller	Fizyoterapistler
Profesyoneller	Odyolog ve Konuşma Terapistleri
Profesyoneller	Başka Bir Yerde Sınıflandırılmamış Sağlık Profesyonelleri
Profesyoneller	Öğretmenler (Belirtilmemiş)
Profesyoneller	Akademisyenler
Profesyoneller	Başka Bir Yerde Sınıflandırılmamış Araştırma Uzmanları
Profesyoneller	Meslek Dersi Öğretmenleri
Profesyoneller	Ortaöğretim Öğretmenleri
Profesyoneller	İlkokul Öğretmenleri
Profesyoneller	Okul Öncesi Öğretmenleri
Profesyoneller	Dil, Müzik ve Sanat Alanındaki Diğer Öğretmenler (Hobi Okulları ve Özel Ders Verenler)
Profesyoneller	Eğitim Yöntemleri Uzmanları
Profesyoneller	Özel Eğitim Öğretmenleri
Profesyoneller	Dil Öğretmenleri
Profesyoneller	Başka Bir Yerde Sınıflandırılmamış Öğretim Uzmanları
Profesyoneller	Başka Bir Yerde Sınıflandırılmamış Öğretim/Eğitim Uzmanları
Profesyoneller	Muhasebeciler
Profesyoneller	Finans ve Yatırım Danışmanları
Profesyoneller	Finansal Analistler
Profesyoneller	Yönetim ve Organizasyon Analistleri
Profesyoneller	Politika ve Kamu Yönetimi Uzmanları
Profesyoneller	Personel ve Kariyer Uzmanları
Profesyoneller	Eğitim ve Personel Gelişimi Uzmanları
Profesyoneller	Reklam ve Pazarlama Uzmanları
Profesyoneller	Halkla İlişkiler Uzmanları
Profesyoneller	Sistem Analistleri
Profesyoneller	Yazılım Geliştiricileri
Profesyoneller	Web ve Multimedya Geliştiricileri
Profesyoneller	Başka Yerde Sınıflandırılmamış Yazılım ve Uygulama Geliştirici ve Analistleri (Test Uzmanları dahil)
Profesyoneller	Veritabanı Tasarımcıları ve Yöneticileri
Profesyoneller	Sistem Yöneticileri
Profesyoneller	Başka yerde sınıflandırılmamış Veritabanı ve Ağ Profesyonelleri
Profesyoneller	Avukatlar
Profesyoneller	Hakimler
Profesyoneller	Hukuk Profesyonelleri
Profesyoneller	Arşivciler ve Küratörler
Profesyoneller	Kütüphaneciler ve İlgili Bilgi Profesyonelleri
Profesyoneller	Ekonomistler
Profesyoneller	Psikologlar
Profesyoneller	Sosyal Hizmet ve Psikolojik Danışma Profesyonelleri
Profesyoneller	Din Hizmetleri Profesyonelleri
Profesyoneller	Editörler (Belirtilmemiş)
Profesyoneller	Yazarlar ve İlgili Yazın Profesyonelleri
Profesyoneller	Gazeteciler
Profesyoneller	Tercümanlar, Yorumcular ve Diğer Dilbilimciler
Profesyoneller	Görsel Sanatçılar
Profesyoneller	Müzisyenler, Şarkıcılar ve Besteciler
Profesyoneller	Film, Sahne ve İlgili Yönetmenler ve Yapımcılar
Profesyoneller	Oyuncular
Teknisyenler ve Yardımcı Profesyoneller	Yardımcı Profesyoneller (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Teknisyenler (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Vardiya Amirleri (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Koordinatörler (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Laboratuvar Teknisyenleri/Asistanları (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Müfettişler/Denetçiler (Belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Görevliler/Memurlar (Belirtilmemiş Görevliler/Memurlar)
Teknisyenler ve Yardımcı Profesyoneller	İnşaat Mühendisliği Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Elektrik Mühendisliği Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Makine Mühendisliği Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Teknik Ressamlar
Teknisyenler ve Yardımcı Profesyoneller	Madencilik, İmalat ve İnşaat Sorumluları
Teknisyenler ve Yardımcı Profesyoneller	Üretim Sorumluları
Teknisyenler ve Yardımcı Profesyoneller	İnşaat Saha Sorumluları
Teknisyenler ve Yardımcı Profesyoneller	Proses Kontrol Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Yaşam Bilimleri Teknisyenleri (Tıbbi Olmayan)
Teknisyenler ve Yardımcı Profesyoneller	Orman Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Gemi Mühendisleri
Teknisyenler ve Yardımcı Profesyoneller	Gemi Güverte Zabitanı ve Kılavuz Kaptanlar
Teknisyenler ve Yardımcı Profesyoneller	Uçak Pilotları ve İlgili Teknik Profesyoneller
Teknisyenler ve Yardımcı Profesyoneller	Hava Trafik Kontrolörleri
Teknisyenler ve Yardımcı Profesyoneller	Tıbbi Görüntüleme ve Terapötik Ekipman Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Tıbbi ve Patoloji Laboratuvar Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Tıbbi ve Diş Protez Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Diş Hekimi Asistanları ve Diş Sağlığı Terapistleri
Teknisyenler ve Yardımcı Profesyoneller	Optisyenler
Teknisyenler ve Yardımcı Profesyoneller	Fizyoterapi Teknisyenleri ve Masör/Masözler
Teknisyenler ve Yardımcı Profesyoneller	Tıbbi Asistanlar
Teknisyenler ve Yardımcı Profesyoneller	Çevre ve İş Sağlığı Denetçileri ve Yardımcıları
Teknisyenler ve Yardımcı Profesyoneller	Ambulans Çalışanları
Teknisyenler ve Yardımcı Profesyoneller	Kredi ve Tahsis Memurları
Teknisyenler ve Yardımcı Profesyoneller	Muhasebe Yardımcı Profesyonelleri
Teknisyenler ve Yardımcı Profesyoneller	İstatistik, Matematik ve İlgili Yardımcı Profesyoneller
Teknisyenler ve Yardımcı Profesyoneller	Eksperler ve Hasar Değerlendirme Uzmanları
Teknisyenler ve Yardımcı Profesyoneller	Sigorta Temsilcileri
Teknisyenler ve Yardımcı Profesyoneller	Ticari Satış Temsilcileri
Teknisyenler ve Yardımcı Profesyoneller	Satın Alma Uzmanları
Teknisyenler ve Yardımcı Profesyoneller	Gümrük Müşavirleri ve Nakliye Temsilcileri
Teknisyenler ve Yardımcı Profesyoneller	Konferans ve Etkinlik Planlayıcıları
Teknisyenler ve Yardımcı Profesyoneller	İstihdam Acenteleri ve Yükleniciler
Teknisyenler ve Yardımcı Profesyoneller	Emlak Danışmanları ve Gayrimenkul Yöneticileri
Teknisyenler ve Yardımcı Profesyoneller	Ofis Sorumluları
Teknisyenler ve Yardımcı Profesyoneller	İdari ve Yönetici Sekreterleri
Teknisyenler ve Yardımcı Profesyoneller	Devlet Düzenleme Uzman Yardımcıları (belirtilmemiş)
Teknisyenler ve Yardımcı Profesyoneller	Gümrük ve Sınır Denetçileri
Teknisyenler ve Yardımcı Profesyoneller	Polis Müfettişleri ve Dedektifler
Teknisyenler ve Yardımcı Profesyoneller	Devlet Düzenleyici Yardımcı Profesyonelleri (Başka Bir Yerde Sınıflandırılmayan)
Teknisyenler ve Yardımcı Profesyoneller	Hukuk ve İlgili Yardımcı Profesyoneller
Teknisyenler ve Yardımcı Profesyoneller	Sosyal Hizmet Yardımcı Profesyonelleri
Teknisyenler ve Yardımcı Profesyoneller	Spor Antrenörleri, Eğitmenleri ve Yetkilileri
Teknisyenler ve Yardımcı Profesyoneller	Fitness ve Rekreasyon Eğitmenleri ve Program Sorumluları
Teknisyenler ve Yardımcı Profesyoneller	Fotoğrafçılar
Teknisyenler ve Yardımcı Profesyoneller	İç Mimarlık ve Dekorasyoncular
Teknisyenler ve Yardımcı Profesyoneller	Şefler
Teknisyenler ve Yardımcı Profesyoneller	Diğer Sanat ve Kültür Yardımcı Profesyonelleri
Teknisyenler ve Yardımcı Profesyoneller	Bilgi ve İletişim Teknolojileri Operasyon Teknisyenleri
Teknisyenler ve Yardımcı Profesyoneller	Yayın ve Görsel-İşitsel Teknisyenler
Büro Desteği	Genel ve Klavye Memurları (belirtilmemiş)
Büro Desteği	Sekreterler (Genel)
Büro Desteği	Veri Giriş Memurları
Büro Desteği	Belirtilmemiş Müşteri Hizmetleri Memurları
Büro Desteği	Banka Gişe Memurları
Büro Desteği	Borç Tahsilatçıları ve İlgili Çalışanlar
Büro Desteği	Seyahat Danışmanları ve Memurları
Büro Desteği	Otel Resepsiyonistleri
Büro Desteği	Bilgi / Danışma Memurları
Büro Desteği	Resepsiyonistler (genel)
Büro Desteği	Anket ve Pazar Araştırması Çalışanları
Büro Desteği	Muhasebe ve Defter Tutma Memurları
Büro Desteği	Bordro ve Özlük İşleri Görevlileri
Büro Desteği	Depo ve Stok Görevlileri
Büro Desteği	Ulaşım ve Taşıma İşleri Görevlileri
Büro Desteği	Posta Taşıyıcıları ve Tasnif Memurları
Büro Desteği	Evrak İşleme Görevlileri
Büro Desteği	Personel İşleri Memurları
Hizmet ve Satış	Seyahat Görevlileri (Kabin ve Servis Memurları)
Hizmet ve Satış	Seyahat Rehberi
Hizmet ve Satış	Aşçılar
Hizmet ve Satış	Garsonlar
Hizmet ve Satış	Kuaförler
Hizmet ve Satış	Estetisyenler (Güzellik Uzmanları) ve İlgili Çalışanlar
Hizmet ve Satış	Ofis, Otel ve Diğer Tesislerde Temizlik ve Kat Hizmetleri Sorumluları
Hizmet ve Satış	Bina Sorumluları
Hizmet ve Satış	Evcil Hayvan Kuaförleri ve Hayvan Bakım Çalışanları
Hizmet ve Satış	Sürüş Eğitmenleri
Hizmet ve Satış	Satış Görevlileri (Belirtilmemiş)
Hizmet ve Satış	Stant ve Pazar Satış Elemanları
Hizmet ve Satış	Mağaza Satış Asistanları
Hizmet ve Satış	Kasiyerler ve Bilet Memurları
Hizmet ve Satış	Çağrı Merkezi Satış Temsilcileri
Hizmet ve Satış	Satış Elemanı (Başka Yerde Sınıflandırılmamış)
Hizmet ve Satış	Çocuk Bakım Personeli
Hizmet ve Satış	Öğretmen Yardımcıları
Hizmet ve Satış	Sağlık Bakım Asistanları /Hasta Bakıcıları
Hizmet ve Satış	Başka Yerde Sınıflandırılmamış Sağlık Hizmetleri Kişisel Bakım Çalışanları
Hizmet ve Satış	İtfaiyeciler
Hizmet ve Satış	Polis Memurları
Hizmet ve Satış	Gardiyanlar
Hizmet ve Satış	Güvenlik Görevlileri
Tarım, Ormancılık ve Balıkçılık	Bahçıvanlar; Bahçe Bitkileri ve Fidan Yetiştiricileri
Tarım, Ormancılık ve Balıkçılık	Hayvancılık ve Süt Ürünleri Üreticileri
Tarım, Ormancılık ve Balıkçılık	Tarım ve Hayvancılık Üreticileri
Tarım, Ormancılık ve Balıkçılık	Ormancılık ve İlgili İşçiler
Zanaatkarlık ve İlgili Meslekler	Zanaatkarlar/Nitelikli İşçiler
Zanaatkarlık ve İlgili Meslekler	İnşaat İşçileri
Zanaatkarlık ve İlgili Meslekler	Marangozlar
Zanaatkarlık ve İlgili Meslekler	İnşaat İşçileri (İnce İşleri Yapanlar)
Zanaatkarlık ve İlgili Meslekler	Tesisatçılar
Zanaatkarlık ve İlgili Meslekler	Boyacılar ve ilgili işçiler
Zanaatkarlık ve İlgili Meslekler	Sprey Boyacılar ve Vernikçiler
Zanaatkarlık ve İlgili Meslekler	Sac ve Yapısal Metal İşçileri, Kalıpçılar ve Kaynakçılar ile İlgili Çalışanlar
Zanaatkarlık ve İlgili Meslekler	Kaynakçılar ve Alev Kesim İşçileri
Zanaatkarlık ve İlgili Meslekler	Sac Metal İşçileri
