group	job
Збройні сили	Професії у збройних  силах
Керівники	Керівники
Керівники	Самозайняті особи/приватні підприємці
Керівники	Невизначені начальники відділів
Керівники	Самозайняті особи/підприємці
Керівники	Невизначені члени правління
Керівники	Невизначені керівники команд
Керівники	Невизначені заступники керівників
Керівники	Менеджери/консультанти з технічного обслуговування, не віднесені до інших категорій
Керівники	Вищі державні посадові особи
Керівники	Фінансові менеджери
Керівники	Менеджери по роботі з персоналом
Керівники	Менеджери з ділових послуг та адміністрування, не віднесені до інших категорій
Керівники	Менеджери з продажу і маркетингу
Керівники	Менеджери з реклами та зв'язків з громадськістю
Керівники	Менеджери з досліджень та розробок
Керівники	Керівники виробництва
Керівники	Керівники будівельних робіт
Керівники	Менеджери з постачання, збуту та суміжних сфер
Керівники	Менеджери у сфері надання послуг з інформаційно-комунікаційних технологій
Керівники	Менеджери у сфері надання послуг з догляду за дітьми
Керівники	Менеджери у сфері надання послуг з охорони здоров'я
Керівники	Менеджери у сфері соціального захисту
Керівники	Менеджери у сфері освіти
Керівники	Менеджери з надання професійних послуг, не віднесені до інших категорій
Керівники	Менеджери готелів
Керівники	Менеджери ресторанів
Керівники	Менеджери роздрібної та гуртової торгівлі
Керівники	Керівники спортивних, оздоровчих та культурних центрів
Керівники	Менеджери у сфері послуг, не віднесені до інших категорій
Професіонали	Невизначені менеджери проектів
Професіонали	Невизначені спеціалісти
Професіонали	Невизначені аналітики
Професіонали	Невизначені консультанти
Професіонали	Невизначені радники
Професіонали	Невизначені менеджери з продукту
Професіонали	Невизначені спеціалісти з контролю якості
Професіонали	Хіміки
Професіонали	Математики, актуарії та статистики
Професіонали	Біологи, ботаніки, зоологи та представники суміжних професій
Професіонали	Радники з питань сільського, лісового та рибного господарства (тільки агрономи)
Професіонали	Фахівці з охорони навколишнього середовища
Професіонали	(Невизначені) фахівці інженерних професій
Професіонали	Інженери-технологи та спеціалісти з організації виробництва
Професіонали	Інженери з цивільного будівництва
Професіонали	Інженери-механіки
Професіонали	Інженери-хіміки
Професіонали	Фахівці інженерних спеціальностей, не віднесені до інших категорій
Професіонали	Інженери-електрики
Професіонали	Інженери з електронного обладнання
Професіонали	Архітектори будівель і споруд
Професіонали	Ландшафтні архітектори
Професіонали	Конструктори виробів та одягу
Професіонали	Планувальники міст і дорожнього руху
Професіонали	Картографи та геодезисти
Професіонали	Графічні дизайнери та дизайнери мультимедійних продуктів
Професіонали	Медичні працівники (невизначені)
Професіонали	Лікарі (не визначені)
Професіонали	Лікарі загальної практики
Професіонали	Лікарі-спеціалісти
Професіонали	Фахівці з медсестринства
Професіонали	Фахівці з акушерства
Професіонали	Ветеринари
Професіонали	Стоматологи
Професіонали	Фармацевти
Професіонали	Фізіотерапевти
Професіонали	Аудіологи та логопеди
Професіонали	Медичні працівники, не віднесені до інших категорій
Професіонали	Невизначені вчителі
Професіонали	Викладачі університетів та закладів вищої освіти
Професіонали	Професіонали в галузі досліджень, не віднесені до інших категорій
Професіонали	Викладачі закладів професійно-технічної освіти
Професіонали	Вчителі середньої школи
Професіонали	Учителі початкової школи
Професіонали	Вихователі дітей дошкільного віку
Професіонали	Інші вчителі мов, музики, мистецтв (школи за інтересами, приватні уроки)
Професіонали	Спеціалісти з методики навчання
Професіонали	Вчителі для дітей з особливими потребами
Професіонали	Викладачі мов
Професіонали	Викладачі, не віднесені до інших категорій
Професіонали	Викладачі/професіонали у сфері освіти, не віднесені до інших категорій
Професіонали	Бухгалтери
Професіонали	Фінансові та інвестиційні консультанти
Професіонали	Фінансові аналітики
Професіонали	Аналітики з питань управління та організації
Професіонали	Фахівці з ведення договорів страхування
Професіонали	Фахівці з питань персоналу та кар'єри
Професіонали	Фахівці з навчання та розвитку персоналу
Професіонали	Фахівці з реклами та маркетингу
Професіонали	Фахівці зі зв'язків з громадськістю
Професіонали	Системні аналітики
Професіонали	Розробники програмного забезпечення
Професіонали	Веб-розробники та розробники мультимедіа
Професіонали	Розробники та аналітики програмного забезпечення та застосунків, не віднесені до інших категорій (тестувальники програмного забезпечення)
Професіонали	Розробники та адміністратори баз даних
Професіонали	Системні адміністратори
Професіонали	Фахівці з баз даних та мереж, не віднесені до інших категорій
Професіонали	Юристи
Професіонали	Судді
Професіонали	Фахівці у сфері права
Професіонали	Архіваріуси та куратори
Професіонали	Бібліотекарі та пов'язані з ними фахівці у сфері інформації
Професіонали	Економісти
Професіонали	Психологи
Професіонали	Фахівці з соціальної роботи та психологічного консультування
Професіонали	Працівники сфери релігії
Професіонали	Невизначені редактори (текстів, книг тощо)
Професіонали	Автори та пов'язані з ними письменники
Професіонали	Журналісти
Професіонали	Письмові та усні перекладачі та інші лінгвісти
Професіонали	Художники
Професіонали	Музиканти, співаки та композитори
Професіонали	Режисери та продюсери у сфері кіно, театру та суміжних галузях
Професіонали	Актори
Представники технічних професій	Невизначені фахівці суміжних сфер
Представники технічних професій	Невизначені технічні фахівці
Представники технічних професій	Невизначені начальники змін
Представники технічних професій	Невизначені координатори
Представники технічних професій	Невизначені лаборанти
Представники технічних професій	Невизначені інспектори
Представники технічних професій	Невизначені чиновники
Представники технічних професій	Інженери-будівельники
Представники технічних професій	Інженери-електротехніки
Представники технічних професій	Технічний персонал з машинобудування
Представники технічних професій	Креслярі
Представники технічних професій	Керівники гірничодобувних, виробничих та будівельних робіт
Представники технічних професій	Керівники виробничих робіт
Представники технічних професій	Керівники будівельних робіт
Представники технічних професій	Технічний персонал з управління технологічними процесами
Представники технічних професій	Технічний персонал у сфері біологічних наук (крім медицини)
Представники технічних професій	Технічний персонал лісового господарства
Представники технічних професій	Морські інженери
Представники технічних професій	Палубні офіцери та лоцмани суден
Представники технічних професій	Пілоти повітряних суден та пов'язані з ними фахівці
Представники технічних професій	Диспетчери управління повітряним рухом
Представники технічних професій	Технічний персонал з медичної візуалізації та експлуатації лікувального обладнання
Представники технічних професій	Медичні та патологоанатомічні лаборанти
Представники технічних професій	Медичні та стоматологічні техніки-протезисти
Представники технічних професій	Асистенти стоматолога та стоматологи-терапевти
Представники технічних професій	Спеціалісти з виготовлення скла для окулярів
Представники технічних професій	Фізіотерапевти та асистенти (масажисти)
Представники технічних професій	Асистенти лікаря
Представники технічних професій	Інспектори та молодші спеціалісти з охорони навколишнього середовища та гігієни праці
Представники технічних професій	Працівники швидкої медичної допомоги
Представники технічних професій	Кредитні фахівці та фахівці з позик
Представники технічних професій	Молодші спеціалісти з бухгалтерського обліку
Представники технічних професій	Молодші спеціалісти у сфері статистики, математики та пов'язаних галузях
Представники технічних професій	Оцінювачі та експерти з оцінки збитків
Представники технічних професій	Представники страхових компаній
Представники технічних професій	Торгові представники
Представники технічних професій	Закупівельний
Представники технічних професій	Митні інспектори та агенти-експедитори
Представники технічних професій	Планувальники конференцій та заходів
Представники технічних професій	Агенти з працевлаштування та укладенню договорів
Представники технічних професій	Агенти з нерухомості та менеджери з управління нерухомістю
Представники технічних професій	Керівники офісів
Представники технічних професій	Адміністративні та виконавчі секретарі
Представники технічних професій	Молодші спеціалісти з питань державного регулювання (невизначені)
Представники технічних професій	Інспектори митних та прикордонних служб
Представники технічних професій	Молодші спеціалісти з питань державного регулювання, не віднесені до інших категорій
Представники технічних професій	Інспектори поліції та слідчі
Представники технічних професій	Молодші спеціалісти з правових питань та суміжних сфер
Представники технічних професій	Молодші спеціалісти з соціальної роботи
Представники технічних професій	Спортивні тренери, інструктори та чиновники
Представники технічних професій	Інструктори та керівники програм з фітнесу та оздоровлення
Представники технічних професій	Фотографи
Представники технічних професій	Дизайнери інтер'єрів і декоратори
Представники технічних професій	Шеф-кухарі
Представники технічних професій	Інші молодші спеціалісти у сфері мистецтва та культури
Представники технічних професій	Технічні спеціалісти з інформаційно-комунікаційних технологій
Представники технічних професій	Телерадіо- та аудіовізуальні техніки
Працівники канцелярських служб	Діловоди та оператори ПК (невизначені)
Працівники канцелярських служб	Секретарі (загальні)
Працівники канцелярських служб	Оператори вводу даних
Працівники канцелярських служб	Невизначені працівники відділу обслуговування клієнтів
Працівники канцелярських служб	Банківські касири
Працівники канцелярських служб	Колектори та пов'язані з ними працівники
Працівники канцелярських служб	Працівники рецепції в готелях
Працівники канцелярських служб	Туристичні консультанти та діловоди
Працівники канцелярських служб	Працівники довідкових служб
Працівники канцелярських служб	Працівники рецепції (загальні)
Працівники канцелярських служб	Інтерв'юери опитувань та маркетингових досліджень
Працівники канцелярських служб	Бухгалтери та діловоди
Працівники канцелярських служб	Касири з нарахування заробітної плати
Працівники канцелярських служб	Біржові працівники
Працівники канцелярських служб	Транспортні службовці
Працівники канцелярських служб	Листоноші та сортувальники пошти
Працівники канцелярських служб	Працівники архівів та копіювальники
Працівники канцелярських служб	Працівники відділу кадрів
Працівники сфери обслуговування та продажів	Туристичні супровідники та стюарди
Працівники сфери обслуговування та продажів	Туристичні гіди
Працівники сфери обслуговування та продажів	Кухарі
Працівники сфери обслуговування та продажів	Офіціанти
Працівники сфери обслуговування та продажів	Перукарі
Працівники сфери обслуговування та продажів	Косметологи та пов'язані з ними працівники
Працівники сфери обслуговування та продажів	Супервайзери з прибирання та ведення господарства в офісах, готелях та інших установах
Працівники сфери обслуговування та продажів	Доглядачі за будинками
Працівники сфери обслуговування та продажів	Перукарі для домашніх тварин і працівники з догляду за тваринами
Працівники сфери обслуговування та продажів	Інструктори з водіння
Працівники сфери обслуговування та продажів	Невизначені працівники у сфері продажів
Працівники сфери обслуговування та продажів	Продавці в кіосках та на ринках
Працівники сфери обслуговування та продажів	Продавці-консультанти в магазинах
Працівники сфери обслуговування та продажів	Касири та білетери
Працівники сфери обслуговування та продажів	Продавці контакт-центрів
Працівники сфери обслуговування та продажів	Працівники з продажу, не віднесені до інших категорій
Працівники сфери обслуговування та продажів	Працівники з догляду за дітьми
Працівники сфери обслуговування та продажів	Помічники вчителя
Працівники сфери обслуговування та продажів	Асистенти з медичної допомоги
Працівники сфери обслуговування та продажів	Працівники з особистого догляду у сфері охорони здоров'я, не віднесені до інших категорій
Працівники сфери обслуговування та продажів	Пожежні
Працівники сфери обслуговування та продажів	Офіцери поліції
Працівники сфери обслуговування та продажів	Тюремні наглядачі
Працівники сфери обслуговування та продажів	Охоронці
