group	job
武装部队	武装部队相关职业
管理人员	管理人员
管理人员	个体经营者/独资业主
管理人员	（大类）部门主管
管理人员	自营职业者/企业家
管理人员	（大类）董事会成员
管理人员	（大类）组长
管理人员	（大类）副经理
管理人员	（大类）维护维修经理/顾问
管理人员	政府高级官员
管理人员	财务经理
管理人员	人力资源经理
管理人员	（其他分类）商业服务和行政经理
管理人员	销售和市场营销经理
管理人员	广告和公共关系经理
管理人员	研发经理
管理人员	制造业经理
管理人员	建筑业经理
管理人员	供应、分销及相关经理
管理人员	信息和通信技术服务经理
管理人员	儿童保育服务经理
管理人员	医疗服务经理
管理人员	社会福利经理
管理人员	教育管理人员
管理人员	（其他分类）专业服务管理人员
管理人员	酒店经理
管理人员	餐厅经理
管理人员	零售和批发业经理
管理人员	体育、娱乐和文化中心经理
管理人员	（其他分类）服务经理
专业人员	（大类）项目经理
专业人员	（大类）专业人员
专业人员	（大类）分析员
专业人员	（大类）专业顾问
专业人员	（大类）咨询（指导）
专业人员	（大类）产品经理
专业人员	（大类）质量专家
专业人员	化学家
专业人员	数学家、精算师和统计学家
专业人员	生物学家、植物学家、动物学家及相关专业人员
专业人员	农业、林业和渔业顾问（仅限农学家）
专业人员	环境保护专业人员
专业人员	（大类）工程专业人员
专业人员	工业和生产工程师
专业人员	土木工程师
专业人员	机械工程师
专业人员	化学工程师
专业人员	（其他分类）工程专业人员
专业人员	电气工程师
专业人员	电子工程师
专业人员	建筑设计师
专业人员	景观设计师
专业人员	产品和服装设计师
专业人员	城市与交通规划师
专业人员	制图师和测量师
专业人员	图形和多媒体设计师
专业人员	（大类）卫生专业人员
专业人员	（大类）医生
专业人员	全科医生
专业人员	专科医生
专业人员	护理专业人员
专业人员	助产专业人员
专业人员	兽医
专业人员	牙医
专业人员	药剂师
专业人员	物理治疗师
专业人员	听力学家和语言治疗师
专业人员	（其他分类）保健专业人员
专业人员	（大类）教师
专业人员	大学和高等教育教师
专业人员	（其他分类）研究专业人员
专业人员	职业教育教师
专业人员	中等教育教师
专业人员	小学教师
专业人员	幼儿教育人员
专业人员	其他语言、音乐、艺术教师（业余爱好学校、私人辅导）
专业人员	教育方法专家
专业人员	特需教师
专业人员	语言教师
专业人员	（其他分类）教学专业人员
专业人员	（其他分类）教学/教育专业人员
专业人员	会计师
专业人员	财务和投资顾问
专业人员	金融分析师
专业人员	管理与组织分析师
专业人员	政策管理专业人员
专业人员	人事和职业专业人员
专业人员	培训与员工发展专业人员
专业人员	广告与营销专业人员
专业人员	公共关系专业人员
专业人员	系统分析员
